"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1065,1462,"hosp",1,0,NA
2020-02-18,807,1220,1653,"hosp",1,155,NA
2020-02-19,990,1448,1918,"hosp",1,228,NA
2020-02-20,1183,1693,2221,"hosp",1,245,NA
2020-02-21,1433,2040,2645,"hosp",1,347,NA
2020-02-22,1763,2447,3108,"hosp",1,407,NA
2020-02-23,2132,2883,3636,"hosp",1,436,259.714285714286
2020-02-24,2674,3541,4380,"hosp",1,658,353.714285714286
2020-02-25,3405,4431,5403,"hosp",1,890,458.714285714286
2020-02-26,4314,5494,6648,"hosp",1,1063,578
2020-02-27,5455,6858,8245,"hosp",1,1364,737.857142857143
2020-02-28,6925,8592,10171,"hosp",1,1734,936
2020-02-29,8871,10742,12602,"hosp",1,2150,1185
2020-03-01,11100,13300,15424,"hosp",1,2558,1488.14285714286
2020-03-02,13716,16365,18785,"hosp",1,3065,1832
2020-03-03,16800,19980,22863,"hosp",1,3615,2221.28571428571
2020-03-04,20065,23961,27376,"hosp",1,3981,2638.14285714286
2020-03-05,23972,28629,32661,"hosp",1,4668,3110.14285714286
2020-03-06,27887,33473,38253,"hosp",1,4844,3554.42857142857
2020-03-07,32711,39359,45042,"hosp",1,5886,4088.14285714286
2020-03-08,38655,46446,53231,"hosp",1,7087,4735.14285714286
2020-03-09,43568,52685,60680,"hosp",1,6239,5188.57142857143
2020-03-10,47396,57779,66989,"hosp",1,5094,5399.85714285714
2020-03-11,51479,63583,74188,"hosp",1,5804,5660.28571428571
2020-03-12,55719,69168,81243,"hosp",1,5585,5791.28571428571
2020-03-13,59714,75091,88757,"hosp",1,5923,5945.42857142857
2020-03-14,64682,82740,98405,"hosp",1,7649,6197.28571428571
2020-03-15,71539,91103,108652,"hosp",1,8363,6379.57142857143
2020-03-16,79455,99561,119158,"hosp",1,8458,6696.57142857143
2020-03-17,88257,109454,130409,"hosp",1,9893,7382.14285714286
2020-03-18,96889,119115,140238,"hosp",1,9661,7933.14285714286
2020-03-19,105686,129708,151685,"hosp",1,10593,8648.57142857143
2020-03-20,113065,140576,165181,"hosp",1,10868,9355
2020-03-21,119677,150719,177763,"hosp",1,10143,9711.28571428571
2020-03-22,124745,158864,189373,"hosp",1,8145,9680.14285714286
2020-03-23,126995,164548,198989,"hosp",1,5684,9283.85714285714
2020-03-24,127825,167574,204698,"hosp",1,3026,8302.85714285714
2020-03-25,126537,168650,208085,"hosp",1,1076,7076.42857142857
2020-03-26,121978,166451,208756,"hosp",1,-2199,5249
2020-03-27,116301,162799,206848,"hosp",1,-3652,3174.71428571429
2020-03-28,111233,158217,204452,"hosp",1,-4582,1071.14285714286
2020-03-29,104883,151508,198787,"hosp",1,-6709,-1050.85714285714
2020-03-30,99446,144437,191430,"hosp",1,-7071,-2873
2020-03-31,94095,137314,182619,"hosp",1,-7123,-4322.85714285714
2020-04-01,89958,130394,173689,"hosp",1,-6920,-5465.14285714286
2020-04-02,84704,123191,164114,"hosp",1,-7203,-6180
2020-04-03,79848,116959,155884,"hosp",1,-6232,-6548.57142857143
2020-04-04,76367,111364,147865,"hosp",1,-5595,-6693.28571428571
2020-04-05,72161,105434,140798,"hosp",1,-5930,-6582
2020-04-06,67758,99476,133247,"hosp",1,-5958,-6423
2020-04-07,63644,93728,125350,"hosp",1,-5748,-6226.57142857143
2020-04-08,60504,88815,119115,"hosp",1,-4913,-5939.85714285714
2020-04-09,56886,83817,112588,"hosp",1,-4998,-5624.85714285714
2020-04-10,53045,79016,106094,"hosp",1,-4801,-5420.42857142857
2020-04-11,50350,74812,100467,"hosp",1,-4204,-5221.71428571429
2020-04-12,47830,70807,95648,"hosp",1,-4005,-4946.71428571429
2020-04-13,45194,66724,89917,"hosp",1,-4083,-4678.85714285714
2020-04-14,42467,62912,84417,"hosp",1,-3812,-4402.28571428571
