"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1058,1424,"hosp",1,0,NA
2020-02-18,807,1212,1615,"hosp",1,154,NA
2020-02-19,995,1444,1923,"hosp",1,232,NA
2020-02-20,1184,1688,2215,"hosp",1,244,NA
2020-02-21,1464,2044,2622,"hosp",1,356,NA
2020-02-22,1804,2447,3118,"hosp",1,403,NA
2020-02-23,2135,2881,3608,"hosp",1,434,260.428571428571
2020-02-24,2691,3535,4392,"hosp",1,654,353.857142857143
2020-02-25,3421,4427,5412,"hosp",1,892,459.285714285714
2020-02-26,4288,5480,6627,"hosp",1,1053,576.571428571429
2020-02-27,5389,6831,8168,"hosp",1,1351,734.714285714286
2020-02-28,6842,8558,10158,"hosp",1,1727,930.571428571429
2020-02-29,8804,10682,12511,"hosp",1,2124,1176.42857142857
2020-03-01,11068,13245,15329,"hosp",1,2563,1480.57142857143
2020-03-02,13613,16302,18715,"hosp",1,3057,1823.85714285714
2020-03-03,16655,19887,22825,"hosp",1,3585,2208.57142857143
2020-03-04,20044,23900,27428,"hosp",1,4013,2631.42857142857
2020-03-05,23889,28559,32735,"hosp",1,4659,3104
2020-03-06,27757,33323,38161,"hosp",1,4764,3537.85714285714
2020-03-07,32714,39248,44990,"hosp",1,5925,4080.85714285714
2020-03-08,38592,46321,53155,"hosp",1,7073,4725.14285714286
2020-03-09,43447,52533,60507,"hosp",1,6212,5175.85714285714
2020-03-10,47222,57608,66810,"hosp",1,5075,5388.71428571429
2020-03-11,51424,63395,74034,"hosp",1,5787,5642.14285714286
2020-03-12,55632,68992,81054,"hosp",1,5597,5776.14285714286
2020-03-13,59433,74874,88576,"hosp",1,5882,5935.85714285714
2020-03-14,64540,82512,98355,"hosp",1,7638,6180.57142857143
2020-03-15,71388,90932,108653,"hosp",1,8420,6373
2020-03-16,79418,99411,119147,"hosp",1,8479,6696.85714285714
2020-03-17,88299,109321,130279,"hosp",1,9910,7387.57142857143
2020-03-18,96689,118926,140097,"hosp",1,9605,7933
2020-03-19,105646,129524,151587,"hosp",1,10598,8647.42857142857
2020-03-20,113123,140495,165031,"hosp",1,10971,9374.42857142857
2020-03-21,119597,150726,177911,"hosp",1,10231,9744.85714285714
2020-03-22,124690,158781,189487,"hosp",1,8055,9692.71428571429
2020-03-23,126916,164396,199012,"hosp",1,5615,9283.57142857143
2020-03-24,127947,167444,204836,"hosp",1,3048,8303.28571428571
2020-03-25,126678,168474,208078,"hosp",1,1030,7078.28571428571
2020-03-26,122091,166296,208706,"hosp",1,-2178,5253.14285714286
2020-03-27,116360,162711,207008,"hosp",1,-3585,3173.71428571429
2020-03-28,111243,158114,204571,"hosp",1,-4597,1055.42857142857
2020-03-29,105076,151415,199047,"hosp",1,-6699,-1052.28571428571
