"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1071,1462,"hosp",1,0,NA
2020-02-18,807,1231,1654,"hosp",1,160,NA
2020-02-19,1012,1468,1952,"hosp",1,237,NA
2020-02-20,1192,1717,2250,"hosp",1,249,NA
2020-02-21,1468,2074,2677,"hosp",1,357,NA
2020-02-22,1833,2483,3157,"hosp",1,409,NA
2020-02-23,2200,2931,3686,"hosp",1,448,265.714285714286
2020-02-24,2762,3601,4426,"hosp",1,670,361.428571428571
2020-02-25,3497,4517,5524,"hosp",1,916,469.428571428571
2020-02-26,4378,5598,6776,"hosp",1,1081,590
2020-02-27,5510,6962,8350,"hosp",1,1364,749.285714285714
2020-02-28,7050,8730,10357,"hosp",1,1768,950.857142857143
2020-02-29,9014,10899,12750,"hosp",1,2169,1202.28571428571
2020-03-01,11217,13498,15649,"hosp",1,2599,1509.57142857143
2020-03-02,13867,16571,19021,"hosp",1,3073,1852.85714285714
2020-03-03,16953,20203,23151,"hosp",1,3632,2240.85714285714
2020-03-04,20287,24209,27713,"hosp",1,4006,2658.71428571429
2020-03-05,24154,28868,33058,"hosp",1,4659,3129.42857142857
2020-03-06,28029,33679,38546,"hosp",1,4811,3564.14285714286
2020-03-07,32875,39562,45392,"hosp",1,5883,4094.71428571429
2020-03-08,38876,46701,53699,"hosp",1,7139,4743.28571428571
2020-03-09,43728,52928,61048,"hosp",1,6227,5193.85714285714
2020-03-10,47456,57985,67307,"hosp",1,5057,5397.42857142857
2020-03-11,51706,63811,74615,"hosp",1,5826,5657.42857142857
2020-03-12,55956,69375,81546,"hosp",1,5564,5786.71428571429
2020-03-13,59856,75279,89071,"hosp",1,5904,5942.85714285714
2020-03-14,64809,82900,98847,"hosp",1,7621,6191.14285714286
2020-03-15,71751,91239,109069,"hosp",1,8339,6362.57142857143
2020-03-16,79674,99650,119498,"hosp",1,8411,6674.57142857143
2020-03-17,88309,109449,130579,"hosp",1,9799,7352
2020-03-18,96822,119047,140342,"hosp",1,9598,7890.85714285714
2020-03-19,105642,129547,151826,"hosp",1,10500,8596
2020-03-20,112715,140307,165045,"hosp",1,10760,9289.71428571429
2020-03-21,119357,150409,177712,"hosp",1,10102,9644.14285714286
2020-03-22,124449,158386,189201,"hosp",1,7977,9592.42857142857
2020-03-23,126912,164016,198685,"hosp",1,5630,9195.14285714286
2020-03-24,127646,167026,204431,"hosp",1,3010,8225.28571428571
2020-03-25,126459,168075,207843,"hosp",1,1049,7004
2020-03-26,121894,165879,208484,"hosp",1,-2196,5190.28571428571
2020-03-27,116159,162238,206412,"hosp",1,-3641,3133
2020-03-28,110954,157666,203978,"hosp",1,-4572,1036.71428571429
2020-03-29,104777,150999,198444,"hosp",1,-6667,-1055.28571428571
2020-03-30,99265,143928,190968,"hosp",1,-7071,-2869.71428571429
2020-03-31,93872,136811,182168,"hosp",1,-7117,-4316.42857142857
2020-04-01,89768,129926,173193,"hosp",1,-6885,-5449.85714285714
2020-04-02,84546,122720,163657,"hosp",1,-7206,-6165.57142857143
2020-04-03,79884,116567,155562,"hosp",1,-6153,-6524.42857142857
2020-04-04,76301,111029,147638,"hosp",1,-5538,-6662.42857142857
2020-04-05,72036,105092,140449,"hosp",1,-5937,-6558.14285714286
2020-04-06,67727,99137,132816,"hosp",1,-5955,-6398.71428571429
2020-04-07,63569,93423,125047,"hosp",1,-5714,-6198.28571428571
2020-04-08,60519,88505,118726,"hosp",1,-4918,-5917.28571428571
