"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,772,1171,1588,"hosp",1,0,NA
2020-02-18,900,1344,1801,"hosp",1,173,NA
2020-02-19,1068,1590,2126,"hosp",1,246,NA
2020-02-20,1295,1856,2432,"hosp",1,266,NA
2020-02-21,1582,2235,2881,"hosp",1,379,NA
2020-02-22,1937,2667,3405,"hosp",1,432,NA
2020-02-23,2327,3133,3927,"hosp",1,466,280.285714285714
2020-02-24,2912,3837,4752,"hosp",1,704,380.857142857143
2020-02-25,3653,4775,5848,"hosp",1,938,490.142857142857
2020-02-26,4502,5783,7055,"hosp",1,1008,599
2020-02-27,5584,7090,8513,"hosp",1,1307,747.714285714286
2020-02-28,6994,8756,10423,"hosp",1,1666,931.571428571429
2020-02-29,8860,10817,12708,"hosp",1,2061,1164.28571428571
2020-03-01,10966,13289,15524,"hosp",1,2472,1450.85714285714
2020-03-02,13478,16289,18828,"hosp",1,3000,1778.85714285714
2020-03-03,16485,19813,22872,"hosp",1,3524,2148.28571428571
2020-03-04,19854,23736,27323,"hosp",1,3923,2564.71428571429
2020-03-05,23597,28295,32470,"hosp",1,4559,3029.28571428571
2020-03-06,27566,33053,37856,"hosp",1,4758,3471
2020-03-07,32432,38931,44630,"hosp",1,5878,4016.28571428571
2020-03-08,38163,45943,52792,"hosp",1,7012,4664.85714285714
2020-03-09,43085,52136,60102,"hosp",1,6193,5121
2020-03-10,46880,57165,66268,"hosp",1,5029,5336
2020-03-11,51214,63020,73560,"hosp",1,5855,5612
2020-03-12,55421,68625,80489,"hosp",1,5605,5761.42857142857
2020-03-13,59321,74544,88009,"hosp",1,5919,5927.28571428571
2020-03-14,64270,82214,97776,"hosp",1,7670,6183.28571428571
2020-03-15,71135,90623,108128,"hosp",1,8409,6382.85714285714
2020-03-16,79367,99112,118631,"hosp",1,8489,6710.85714285714
2020-03-17,88017,109062,129847,"hosp",1,9950,7413.85714285714
2020-03-18,96656,118787,139703,"hosp",1,9725,7966.71428571429
2020-03-19,105556,129396,151404,"hosp",1,10609,8681.57142857143
2020-03-20,112910,140384,164845,"hosp",1,10988,9405.71428571429
2020-03-21,119507,150623,177642,"hosp",1,10239,9772.71428571429
2020-03-22,124845,158791,189307,"hosp",1,8168,9738.28571428571
2020-03-23,127025,164488,199008,"hosp",1,5697,9339.42857142857
2020-03-24,128143,167637,204887,"hosp",1,3149,8367.85714285714
2020-03-25,126859,168781,208316,"hosp",1,1144,7142
2020-03-26,122151,166582,208811,"hosp",1,-2199,5312.28571428571
2020-03-27,116544,162989,206974,"hosp",1,-3593,3229.28571428571
2020-03-28,111268,158387,204554,"hosp",1,-4602,1109.14285714286
2020-03-29,105195,151752,199033,"hosp",1,-6635,-1005.57142857143
2020-03-30,99695,144771,191730,"hosp",1,-6981,-2816.71428571429
2020-03-31,94312,137671,182822,"hosp",1,-7100,-4280.85714285714
2020-04-01,90370,130751,174073,"hosp",1,-6920,-5432.85714285714
2020-04-02,85141,123517,164550,"hosp",1,-7234,-6152.14285714286
2020-04-03,80210,117286,156097,"hosp",1,-6231,-6529
2020-04-04,76810,111708,148110,"hosp",1,-5578,-6668.42857142857
2020-04-05,72201,105779,141246,"hosp",1,-5929,-6567.57142857143
2020-04-06,67928,99773,133692,"hosp",1,-6006,-6428.28571428571
2020-04-07,63809,94049,125839,"hosp",1,-5724,-6231.71428571429
2020-04-08,60846,89094,119544,"hosp",1,-4955,-5951
2020-04-09,56940,84068,113089,"hosp",1,-5026,-5635.57142857143
2020-04-10,53213,79279,106634,"hosp",1,-4789,-5429.57142857143
2020-04-11,50452,75112,100995,"hosp",1,-4167,-5228
2020-04-12,47995,71093,96072,"hosp",1,-4019,-4955.14285714286
2020-04-13,45552,66987,90473,"hosp",1,-4106,-4683.71428571429
2020-04-14,42807,63180,84786,"hosp",1,-3807,-4409.85714285714
2020-04-15,40403,59817,80270,"hosp",1,-3363,-4182.42857142857
2020-04-16,37842,56196,75766,"hosp",1,-3621,-3981.71428571429
2020-04-17,35135,52837,71565,"hosp",1,-3359,-3777.42857142857
2020-04-18,33035,49894,67600,"hosp",1,-2943,-3602.57142857143
2020-04-19,31272,47060,63961,"hosp",1,-2834,-3433.28571428571
2020-04-20,29442,44316,60416,"hosp",1,-2744,-3238.71428571429
2020-04-21,27649,41708,56808,"hosp",1,-2608,-3067.42857142857
2020-04-22,26527,39450,53513,"hosp",1,-2258,-2909.57142857143
2020-04-23,25022,37250,50463,"hosp",1,-2200,-2706.57142857143
2020-04-24,23547,35318,47848,"hosp",1,-1932,-2502.71428571429
2020-04-25,22559,33764,45493,"hosp",1,-1554,-2304.28571428571
2020-04-26,21719,32476,43868,"hosp",1,-1288,-2083.42857142857
2020-04-27,20820,30983,41940,"hosp",1,-1493,-1904.71428571429
2020-04-28,19939,29566,39843,"hosp",1,-1417,-1734.57142857143
2020-04-29,19174,28191,37813,"hosp",1,-1375,-1608.42857142857
2020-04-30,18395,27087,36263,"hosp",1,-1104,-1451.85714285714
2020-05-01,17601,26131,34975,"hosp",1,-956,-1312.42857142857
2020-05-02,16843,25284,33789,"hosp",1,-847,-1211.42857142857
2020-05-03,16479,24635,33080,"hosp",1,-649,-1120.14285714286
2020-05-04,16716,24444,32662,"hosp",1,-191,-934.142857142857
2020-05-05,16838,24106,32007,"hosp",1,-338,-780
2020-05-06,16692,23778,31162,"hosp",1,-328,-630.428571428571
2020-05-07,16255,23278,30383,"hosp",1,-500,-544.142857142857
2020-05-08,15822,22849,29773,"hosp",1,-429,-468.857142857143
2020-05-09,15511,22503,29558,"hosp",1,-346,-397.285714285714
2020-05-10,14513,21772,28904,"hosp",1,-731,-409
2020-05-11,13889,21089,28259,"hosp",1,-683,-479.285714285714
2020-05-12,13285,20275,27542,"hosp",1,-814,-547.285714285714
2020-05-13,12969,19536,26833,"hosp",1,-739,-606
2020-05-14,12401,18645,25418,"hosp",1,-891,-661.857142857143
2020-05-15,11884,17980,24426,"hosp",1,-665,-695.571428571429
2020-05-16,11534,17380,23473,"hosp",1,-600,-731.857142857143
2020-05-17,10855,16533,22531,"hosp",1,-847,-748.428571428571
2020-05-18,10321,15754,21551,"hosp",1,-779,-762.142857142857
2020-05-19,9632,14948,20429,"hosp",1,-806,-761
2020-05-20,9317,14315,19723,"hosp",1,-633,-745.857142857143
2020-05-21,8719,13522,18713,"hosp",1,-793,-731.857142857143
2020-05-22,8016,12725,17702,"hosp",1,-797,-750.714285714286
2020-05-23,7702,12008,16733,"hosp",1,-717,-767.428571428571
2020-05-24,7225,11360,15931,"hosp",1,-648,-739
2020-05-25,6700,10549,14777,"hosp",1,-811,-743.571428571429
2020-05-26,6094,9821,13706,"hosp",1,-728,-732.428571428571
2020-05-27,5737,9264,13029,"hosp",1,-557,-721.571428571429
2020-05-28,5419,8719,12355,"hosp",1,-545,-686.142857142857
2020-05-29,4996,8162,11660,"hosp",1,-557,-651.857142857143
2020-05-30,4586,7598,10795,"hosp",1,-564,-630
2020-05-31,4424,7138,10147,"hosp",1,-460,-603.142857142857
2020-06-01,4099,6593,9432,"hosp",1,-545,-565.142857142857
2020-06-02,3645,6045,8673,"hosp",1,-548,-539.428571428571
2020-06-03,3219,5524,7918,"hosp",1,-521,-534.285714285714
2020-06-04,2902,5069,7447,"hosp",1,-455,-521.428571428571
2020-06-05,2686,4740,7072,"hosp",1,-329,-488.857142857143
2020-06-06,2619,4587,6804,"hosp",1,-153,-430.142857142857
2020-06-07,2648,4456,6479,"hosp",1,-131,-383.142857142857
2020-06-08,2752,4389,6266,"hosp",1,-67,-314.857142857143
2020-06-09,2896,4406,6122,"hosp",1,17,-234.142857142857
2020-06-10,2945,4376,5941,"hosp",1,-30,-164
2020-06-11,2836,4329,5827,"hosp",1,-47,-105.714285714286
2020-06-12,2652,4265,5829,"hosp",1,-64,-67.8571428571429
2020-06-13,2491,4207,5844,"hosp",1,-58,-54.2857142857143
2020-06-14,2535,4287,6042,"hosp",1,80,-24.1428571428571
2020-06-15,2545,4280,6134,"hosp",1,-7,-15.5714285714286
2020-06-16,2598,4282,6149,"hosp",1,2,-17.7142857142857
2020-06-17,2704,4371,6186,"hosp",1,89,-0.714285714285714
2020-06-18,2840,4494,6268,"hosp",1,123,23.5714285714286
2020-06-19,2978,4625,6293,"hosp",1,131,51.4285714285714
2020-06-20,2992,4744,6426,"hosp",1,119,76.7142857142857
2020-06-21,2867,4693,6484,"hosp",1,-51,58
2020-06-22,2728,4627,6517,"hosp",1,-66,49.5714285714286
2020-06-23,2647,4555,6540,"hosp",1,-72,39
2020-06-24,2517,4395,6320,"hosp",1,-160,3.42857142857143
2020-06-25,2446,4288,6225,"hosp",1,-107,-29.4285714285714
2020-06-26,2349,4227,6240,"hosp",1,-61,-56.8571428571429
2020-06-27,2341,4163,6130,"hosp",1,-64,-83
2020-06-28,2277,3987,5885,"hosp",1,-176,-100.857142857143
2020-06-29,2229,3908,5724,"hosp",1,-79,-102.714285714286
2020-06-30,2259,3847,5522,"hosp",1,-61,-101.142857142857
2020-07-01,2130,3735,5429,"hosp",1,-112,-94.2857142857143
2020-07-02,1982,3595,5309,"hosp",1,-140,-99
2020-07-03,1876,3476,5146,"hosp",1,-119,-107.285714285714
2020-07-04,1887,3390,5073,"hosp",1,-86,-110.428571428571
2020-07-05,1868,3334,4991,"hosp",1,-56,-93.2857142857143
2020-07-06,1974,3420,4985,"hosp",1,86,-69.7142857142857
2020-07-07,2085,3487,4974,"hosp",1,67,-51.4285714285714
2020-07-08,2198,3607,5128,"hosp",1,120,-18.2857142857143
2020-07-09,2268,3672,5142,"hosp",1,65,11
2020-07-10,2384,3810,5249,"hosp",1,138,47.7142857142857
2020-07-11,2485,3949,5434,"hosp",1,139,79.8571428571429
2020-07-12,2573,4087,5638,"hosp",1,138,107.571428571429
2020-07-13,2582,4118,5735,"hosp",1,31,99.7142857142857
2020-07-14,2614,4167,5859,"hosp",1,49,97.1428571428571
2020-07-15,2684,4227,5951,"hosp",1,60,88.5714285714286
2020-07-16,2959,4543,6206,"hosp",1,316,124.428571428571
2020-07-17,3270,4912,6592,"hosp",1,369,157.428571428571
2020-07-18,3538,5255,7012,"hosp",1,343,186.571428571429
2020-07-19,3957,5697,7529,"hosp",1,442,230
2020-07-20,4105,5849,7668,"hosp",1,152,247.285714285714
2020-07-21,4391,6158,7986,"hosp",1,309,284.428571428571
2020-07-22,4518,6519,8405,"hosp",1,361,327.428571428571
2020-07-23,4707,6893,8978,"hosp",1,374,335.714285714286
2020-07-24,4848,7168,9475,"hosp",1,275,322.285714285714
2020-07-25,5004,7504,10035,"hosp",1,336,321.285714285714
2020-07-26,5488,7910,10523,"hosp",1,406,316.142857142857
2020-07-27,5932,8340,10903,"hosp",1,430,355.857142857143
2020-07-28,6417,8961,11488,"hosp",1,621,400.428571428571
2020-07-29,6899,9624,12153,"hosp",1,663,443.571428571429
2020-07-30,7008,9829,12564,"hosp",1,205,419.428571428571
2020-07-31,7053,9966,12902,"hosp",1,137,399.714285714286
2020-08-01,7045,10183,13228,"hosp",1,217,382.714285714286
2020-08-02,7217,10461,13597,"hosp",1,278,364.428571428571
2020-08-03,7392,10843,14248,"hosp",1,382,357.571428571429
2020-08-04,7367,11022,14611,"hosp",1,179,294.428571428571
2020-08-05,7710,11133,14808,"hosp",1,111,215.571428571429
2020-08-06,8026,11304,14973,"hosp",1,171,210.714285714286
2020-08-07,8346,11628,15144,"hosp",1,324,237.428571428571
2020-08-08,8494,11915,15183,"hosp",1,287,247.428571428571
2020-08-09,8543,12251,15744,"hosp",1,336,255.714285714286
2020-08-10,8608,12426,16178,"hosp",1,175,226.142857142857
2020-08-11,8838,12681,16549,"hosp",1,255,237
2020-08-12,8849,12745,16767,"hosp",1,64,230.285714285714
2020-08-13,8768,12711,16599,"hosp",1,-34,201
2020-08-14,8777,12790,16742,"hosp",1,79,166
2020-08-15,8677,12787,16850,"hosp",1,-3,124.571428571429
2020-08-16,8363,12534,16767,"hosp",1,-253,40.4285714285714
2020-08-17,8035,12212,16403,"hosp",1,-322,-30.5714285714286
2020-08-18,7844,11934,16143,"hosp",1,-278,-106.714285714286
2020-08-19,7611,11553,15717,"hosp",1,-381,-170.285714285714
2020-08-20,7236,11206,15403,"hosp",1,-347,-215
2020-08-21,6903,10841,14820,"hosp",1,-365,-278.428571428571
2020-08-22,6905,10583,14536,"hosp",1,-258,-314.857142857143
2020-08-23,7000,10583,14517,"hosp",1,0,-278.714285714286
2020-08-24,7219,10792,14585,"hosp",1,209,-202.857142857143
2020-08-25,7574,11039,14605,"hosp",1,247,-127.857142857143
2020-08-26,8096,11565,15146,"hosp",1,526,1.71428571428571
2020-08-27,8770,12245,15830,"hosp",1,680,148.428571428571
2020-08-28,9567,13070,16610,"hosp",1,825,318.428571428571
2020-08-29,10361,14122,17760,"hosp",1,1052,505.571428571429
2020-08-30,11533,15611,19423,"hosp",1,1489,718.285714285714
2020-08-31,12959,17239,21383,"hosp",1,1628,921
2020-09-01,14530,19089,23552,"hosp",1,1850,1150
2020-09-02,16499,21459,26249,"hosp",1,2370,1413.42857142857
2020-09-03,18680,24037,29095,"hosp",1,2578,1684.57142857143
2020-09-04,21167,27038,32625,"hosp",1,3001,1995.42857142857
2020-09-05,23816,30439,36483,"hosp",1,3401,2331
2020-09-06,26080,33353,39980,"hosp",1,2914,2534.57142857143
2020-09-07,28494,36374,43769,"hosp",1,3021,2733.57142857143
2020-09-08,30980,39964,48220,"hosp",1,3590,2982.14285714286
2020-09-09,34110,43996,53102,"hosp",1,4032,3219.57142857143
2020-09-10,37103,48124,58268,"hosp",1,4128,3441
