"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1062,1425,"hosp",1,0,NA
2020-02-18,807,1222,1616,"hosp",1,160,NA
2020-02-19,990,1454,1935,"hosp",1,232,NA
2020-02-20,1178,1708,2225,"hosp",1,254,NA
2020-02-21,1488,2067,2651,"hosp",1,359,NA
2020-02-22,1834,2483,3147,"hosp",1,416,NA
2020-02-23,2191,2936,3671,"hosp",1,453,267.714285714286
2020-02-24,2731,3615,4473,"hosp",1,679,364.714285714286
2020-02-25,3459,4509,5531,"hosp",1,894,469.571428571429
2020-02-26,4375,5590,6757,"hosp",1,1081,590.857142857143
2020-02-27,5507,6961,8303,"hosp",1,1371,750.428571428571
2020-02-28,6993,8698,10303,"hosp",1,1737,947.285714285714
2020-02-29,8956,10864,12682,"hosp",1,2166,1197.28571428571
2020-03-01,11161,13410,15555,"hosp",1,2546,1496.28571428571
2020-03-02,13806,16503,18950,"hosp",1,3093,1841.14285714286
2020-03-03,16967,20144,22986,"hosp",1,3641,2233.57142857143
2020-03-04,20299,24169,27528,"hosp",1,4025,2654.14285714286
2020-03-05,24209,28870,32972,"hosp",1,4701,3129.85714285714
2020-03-06,28073,33716,38571,"hosp",1,4846,3574
2020-03-07,33024,39645,45416,"hosp",1,5929,4111.57142857143
2020-03-08,38822,46789,53619,"hosp",1,7144,4768.42857142857
2020-03-09,43681,53027,61032,"hosp",1,6238,5217.71428571429
2020-03-10,47460,58081,67451,"hosp",1,5054,5419.57142857143
2020-03-11,51613,63949,74777,"hosp",1,5868,5682.85714285714
2020-03-12,56003,69561,81686,"hosp",1,5612,5813
2020-03-13,60012,75464,89120,"hosp",1,5903,5964
2020-03-14,64880,83101,98820,"hosp",1,7637,6208
2020-03-15,71815,91502,109219,"hosp",1,8401,6387.57142857143
2020-03-16,79706,99925,119692,"hosp",1,8423,6699.71428571429
2020-03-17,88432,109801,130732,"hosp",1,9876,7388.57142857143
2020-03-18,96942,119410,140514,"hosp",1,9609,7923
2020-03-19,105677,129936,152114,"hosp",1,10526,8625
2020-03-20,112937,140721,165401,"hosp",1,10785,9322.42857142857
2020-03-21,119300,150795,178108,"hosp",1,10074,9670.57142857143
2020-03-22,124577,158874,189562,"hosp",1,8079,9624.57142857143
2020-03-23,126791,164458,198892,"hosp",1,5584,9219
2020-03-24,127731,167475,204812,"hosp",1,3017,8239.14285714286
2020-03-25,126283,168463,207867,"hosp",1,988,7007.57142857143
2020-03-26,121596,166228,208563,"hosp",1,-2235,5184.57142857143
2020-03-27,116072,162618,206641,"hosp",1,-3610,3128.14285714286
2020-03-28,110949,158042,203960,"hosp",1,-4576,1035.28571428571
2020-03-29,104843,151372,198552,"hosp",1,-6670,-1071.71428571429
2020-03-30,99338,144339,191048,"hosp",1,-7033,-2874.14285714286
2020-03-31,93979,137263,182559,"hosp",1,-7076,-4316
2020-04-01,90000,130352,173254,"hosp",1,-6911,-5444.42857142857
2020-04-02,84621,123107,163759,"hosp",1,-7245,-6160.14285714286
2020-04-03,79859,116913,155556,"hosp",1,-6194,-6529.28571428571
2020-04-04,76352,111357,147753,"hosp",1,-5556,-6669.28571428571
2020-04-05,71965,105409,140684,"hosp",1,-5948,-6566.14285714286
2020-04-06,67512,99441,132997,"hosp",1,-5968,-6414
2020-04-07,63404,93646,125139,"hosp",1,-5795,-6231
2020-04-08,60398,88665,118750,"hosp",1,-4981,-5955.28571428571
2020-04-09,56776,83709,112403,"hosp",1,-4956,-5628.28571428571
2020-04-10,52923,78917,105892,"hosp",1,-4792,-5428
2020-04-11,50257,74719,100262,"hosp",1,-4198,-5234
2020-04-12,47716,70675,95452,"hosp",1,-4044,-4962
2020-04-13,45138,66587,89754,"hosp",1,-4088,-4693.42857142857
2020-04-14,42521,62793,84185,"hosp",1,-3794,-4407.57142857143
2020-04-15,40152,59453,79744,"hosp",1,-3340,-4173.14285714286
2020-04-16,37489,55864,75123,"hosp",1,-3589,-3977.85714285714
2020-04-17,34893,52472,71010,"hosp",1,-3392,-3777.85714285714
2020-04-18,32919,49548,67030,"hosp",1,-2924,-3595.85714285714
2020-04-19,31072,46735,63464,"hosp",1,-2813,-3420
2020-04-20,29336,43999,59896,"hosp",1,-2736,-3226.85714285714
2020-04-21,27483,41424,56243,"hosp",1,-2575,-3052.71428571429
2020-04-22,26200,39192,53103,"hosp",1,-2232,-2894.42857142857
2020-04-23,24847,37031,50247,"hosp",1,-2161,-2690.42857142857
2020-04-24,23477,35140,47617,"hosp",1,-1891,-2476
2020-04-25,22461,33623,45255,"hosp",1,-1517,-2275
2020-04-26,21721,32353,43625,"hosp",1,-1270,-2054.57142857143
2020-04-27,20797,30888,41758,"hosp",1,-1465,-1873
2020-04-28,19928,29491,39648,"hosp",1,-1397,-1704.71428571429
2020-04-29,19087,28158,37762,"hosp",1,-1333,-1576.28571428571
2020-04-30,18370,27047,36257,"hosp",1,-1111,-1426.28571428571
2020-05-01,17470,26067,34881,"hosp",1,-980,-1296.14285714286
