"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1061,1462,"hosp",1,0,NA
2020-02-18,807,1220,1653,"hosp",1,159,NA
2020-02-19,995,1452,1924,"hosp",1,232,NA
2020-02-20,1191,1707,2223,"hosp",1,255,NA
2020-02-21,1475,2066,2655,"hosp",1,359,NA
2020-02-22,1820,2494,3167,"hosp",1,428,NA
2020-02-23,2206,2938,3672,"hosp",1,444,268.142857142857
2020-02-24,2740,3607,4493,"hosp",1,669,363.714285714286
2020-02-25,3512,4532,5541,"hosp",1,925,473.142857142857
2020-02-26,4441,5603,6779,"hosp",1,1071,593
2020-02-27,5572,6978,8381,"hosp",1,1375,753
2020-02-28,7028,8727,10371,"hosp",1,1749,951.571428571429
2020-02-29,8959,10916,12774,"hosp",1,2189,1203.14285714286
2020-03-01,11177,13486,15662,"hosp",1,2570,1506.85714285714
2020-03-02,13746,16565,19127,"hosp",1,3079,1851.14285714286
2020-03-03,16917,20194,23152,"hosp",1,3629,2237.42857142857
2020-03-04,20302,24244,27811,"hosp",1,4050,2663
2020-03-05,24268,28931,33076,"hosp",1,4687,3136.14285714286
2020-03-06,28089,33753,38640,"hosp",1,4822,3575.14285714286
2020-03-07,32893,39642,45459,"hosp",1,5889,4103.71428571429
2020-03-08,38816,46777,53721,"hosp",1,7135,4755.85714285714
2020-03-09,43724,52995,61149,"hosp",1,6218,5204.28571428571
2020-03-10,47602,58084,67521,"hosp",1,5089,5412.85714285714
2020-03-11,51687,63859,74698,"hosp",1,5775,5659.28571428571
2020-03-12,55896,69467,81803,"hosp",1,5608,5790.85714285714
2020-03-13,59962,75370,89287,"hosp",1,5903,5945.28571428571
2020-03-14,64807,83001,98928,"hosp",1,7631,6194.14285714286
2020-03-15,71616,91362,109217,"hosp",1,8361,6369.28571428571
2020-03-16,79751,99766,119717,"hosp",1,8404,6681.57142857143
2020-03-17,88389,109562,130709,"hosp",1,9796,7354
2020-03-18,96767,119115,140374,"hosp",1,9553,7893.71428571429
2020-03-19,105583,129636,151810,"hosp",1,10521,8595.57142857143
2020-03-20,112933,140423,165130,"hosp",1,10787,9293.28571428571
2020-03-21,119239,150460,177796,"hosp",1,10037,9637
2020-03-22,124452,158442,189230,"hosp",1,7982,9582.85714285714
2020-03-23,126887,164039,198820,"hosp",1,5597,9181.85714285714
2020-03-24,127679,167071,204326,"hosp",1,3032,8215.57142857143
2020-03-25,126293,168104,207681,"hosp",1,1033,6998.42857142857
2020-03-26,121617,165915,208394,"hosp",1,-2189,5182.71428571429
2020-03-27,116143,162318,206486,"hosp",1,-3597,3127.85714285714
2020-03-28,110967,157732,204092,"hosp",1,-4586,1038.85714285714
2020-03-29,104862,151058,198315,"hosp",1,-6674,-1054.85714285714
2020-03-30,99263,144018,191093,"hosp",1,-7040,-2860.14285714286
2020-03-31,93986,136951,182316,"hosp",1,-7067,-4302.85714285714
2020-04-01,89888,130056,173254,"hosp",1,-6895,-5435.42857142857
2020-04-02,84560,122838,163889,"hosp",1,-7218,-6153.85714285714
2020-04-03,79735,116615,155397,"hosp",1,-6223,-6529
2020-04-04,76416,111064,147690,"hosp",1,-5551,-6666.85714285714
2020-04-05,72063,105145,140474,"hosp",1,-5919,-6559
2020-04-06,67548,99209,132888,"hosp",1,-5936,-6401.28571428571
2020-04-07,63405,93474,125072,"hosp",1,-5735,-6211
2020-04-08,60363,88530,118811,"hosp",1,-4944,-5932.28571428571
2020-04-09,56768,83594,112363,"hosp",1,-4936,-5606.28571428571
2020-04-10,52999,78796,105949,"hosp",1,-4798,-5402.71428571429
2020-04-11,50225,74551,100281,"hosp",1,-4245,-5216.14285714286
2020-04-12,47870,70561,95411,"hosp",1,-3990,-4940.57142857143
2020-04-13,45154,66489,89793,"hosp",1,-4072,-4674.28571428571
2020-04-14,42472,62677,84164,"hosp",1,-3812,-4399.57142857143
2020-04-15,40111,59360,79713,"hosp",1,-3317,-4167.14285714286
2020-04-16,37584,55759,75144,"hosp",1,-3601,-3976.42857142857
2020-04-17,35034,52416,70919,"hosp",1,-3343,-3768.57142857143
