"Date","prev_low","prev_avg","prev_up","population","version","groei_besmettelijken","besmet_7daverage"
2020-02-17,692,1054,1424,"hosp",1,0,NA
2020-02-18,807,1213,1615,"hosp",1,159,NA
2020-02-19,979,1449,1909,"hosp",1,236,NA
2020-02-20,1176,1703,2228,"hosp",1,254,NA
2020-02-21,1460,2052,2650,"hosp",1,349,NA
2020-02-22,1793,2453,3149,"hosp",1,401,NA
2020-02-23,2125,2887,3649,"hosp",1,434,261.857142857143
2020-02-24,2705,3553,4416,"hosp",1,666,357
2020-02-25,3417,4460,5483,"hosp",1,907,463.857142857143
2020-02-26,4292,5510,6699,"hosp",1,1050,580.142857142857
2020-02-27,5391,6855,8282,"hosp",1,1345,736
2020-02-28,6893,8588,10224,"hosp",1,1733,933.714285714286
2020-02-29,8814,10739,12608,"hosp",1,2151,1183.71428571429
2020-03-01,10998,13279,15420,"hosp",1,2540,1484.57142857143
2020-03-02,13576,16328,18810,"hosp",1,3049,1825
2020-03-03,16644,19899,22833,"hosp",1,3571,2205.57142857143
2020-03-04,20064,23895,27455,"hosp",1,3996,2626.42857142857
2020-03-05,23851,28513,32663,"hosp",1,4618,3094
2020-03-06,27672,33273,38116,"hosp",1,4760,3526.42857142857
2020-03-07,32503,39114,44942,"hosp",1,5841,4053.57142857143
2020-03-08,38340,46195,53096,"hosp",1,7081,4702.28571428571
2020-03-09,43314,52411,60403,"hosp",1,6216,5154.71428571429
2020-03-10,46967,57458,66618,"hosp",1,5047,5365.57142857143
2020-03-11,51370,63324,73893,"hosp",1,5866,5632.71428571429
2020-03-12,55619,68946,80892,"hosp",1,5622,5776.14285714286
2020-03-13,59479,74819,88428,"hosp",1,5873,5935.14285714286
2020-03-14,64498,82475,98178,"hosp",1,7656,6194.42857142857
2020-03-15,71316,90843,108531,"hosp",1,8368,6378.28571428571
2020-03-16,79294,99249,118852,"hosp",1,8406,6691.14285714286
2020-03-17,88056,109118,130091,"hosp",1,9869,7380
2020-03-18,96524,118779,139837,"hosp",1,9661,7922.14285714286
2020-03-19,105442,129399,151420,"hosp",1,10620,8636.14285714286
2020-03-20,112840,140299,164982,"hosp",1,10900,9354.28571428571
2020-03-21,119449,150501,177796,"hosp",1,10202,9718
2020-03-22,124669,158679,189352,"hosp",1,8178,9690.85714285714
2020-03-23,127138,164466,198970,"hosp",1,5787,9316.71428571429
2020-03-24,128109,167597,204870,"hosp",1,3131,8354.14285714286
2020-03-25,126744,168682,208330,"hosp",1,1085,7129
2020-03-26,121987,166528,208906,"hosp",1,-2154,5304.14285714286
2020-03-27,116544,162976,207218,"hosp",1,-3552,3239.57142857143
2020-03-28,111249,158360,204811,"hosp",1,-4616,1122.71428571429
2020-03-29,105065,151703,199080,"hosp",1,-6657,-996.571428571429
2020-03-30,99585,144630,191779,"hosp",1,-7073,-2833.71428571429
2020-03-31,94356,137515,183043,"hosp",1,-7115,-4297.42857142857
2020-04-01,90066,130516,173942,"hosp",1,-6999,-5452.28571428571
2020-04-02,84919,123222,164100,"hosp",1,-7294,-6186.57142857143
2020-04-03,80066,117029,155977,"hosp",1,-6193,-6563.85714285714
2020-04-04,76597,111427,147968,"hosp",1,-5602,-6704.71428571429
2020-04-05,72112,105494,140955,"hosp",1,-5933,-6601.28571428571
2020-04-06,67741,99531,133275,"hosp",1,-5963,-6442.71428571429
2020-04-07,63666,93784,125504,"hosp",1,-5747,-6247.28571428571
2020-04-08,60848,88870,119117,"hosp",1,-4914,-5949.42857142857
2020-04-09,56967,83940,112715,"hosp",1,-4930,-5611.71428571429
2020-04-10,53176,79121,106191,"hosp",1,-4819,-5415.42857142857
2020-04-11,50609,74955,100702,"hosp",1,-4166,-5210.28571428571
2020-04-12,47920,70894,95837,"hosp",1,-4061,-4942.85714285714
2020-04-13,45297,66785,90076,"hosp",1,-4109,-4678
2020-04-14,42540,62982,84492,"hosp",1,-3803,-4400.28571428571
2020-04-15,40294,59633,80031,"hosp",1,-3349,-4176.71428571429
2020-04-16,37608,55986,75447,"hosp",1,-3647,-3993.42857142857
2020-04-17,34971,52597,71357,"hosp",1,-3389,-3789.14285714286
2020-04-18,32961,49663,67414,"hosp",1,-2934,-3613.14285714286
2020-04-19,31233,46865,63761,"hosp",1,-2798,-3432.71428571429
2020-04-20,29388,44095,60129,"hosp",1,-2770,-3241.42857142857
2020-04-21,27586,41486,56377,"hosp",1,-2609,-3070.85714285714
2020-04-22,26314,39233,53135,"hosp",1,-2253,-2914.28571428571
2020-04-23,24868,37056,50313,"hosp",1,-2177,-2704.28571428571
2020-04-24,23406,35131,47578,"hosp",1,-1925,-2495.14285714286
2020-04-25,22358,33595,45228,"hosp",1,-1536,-2295.42857142857
2020-04-26,21637,32304,43675,"hosp",1,-1291,-2080.14285714286
2020-04-27,20728,30851,41874,"hosp",1,-1453,-1892
2020-04-28,19848,29464,39703,"hosp",1,-1387,-1717.42857142857
2020-04-29,19104,28136,37722,"hosp",1,-1328,-1585.28571428571
2020-04-30,18411,27065,36221,"hosp",1,-1071,-1427.28571428571
2020-05-01,17637,26108,34918,"hosp",1,-957,-1289
2020-05-02,16946,25284,33774,"hosp",1,-824,-1187.28571428571
2020-05-03,16590,24634,33064,"hosp",1,-650,-1095.71428571429
2020-05-04,16729,24411,32699,"hosp",1,-223,-920
2020-05-05,16758,24075,31999,"hosp",1,-336,-769.857142857143
2020-05-06,16682,23720,31137,"hosp",1,-355,-630.857142857143
2020-05-07,16193,23171,30328,"hosp",1,-549,-556.285714285714
2020-05-08,15778,22747,29853,"hosp",1,-424,-480.142857142857
2020-05-09,15490,22421,29466,"hosp",1,-326,-409
2020-05-10,14457,21695,28782,"hosp",1,-726,-419.857142857143
2020-05-11,13919,21035,28237,"hosp",1,-660,-482.285714285714
2020-05-12,13321,20263,27538,"hosp",1,-772,-544.571428571429
2020-05-13,12988,19547,26778,"hosp",1,-716,-596.142857142857
2020-05-14,12448,18698,25450,"hosp",1,-849,-639
2020-05-15,11923,18063,24421,"hosp",1,-635,-669.142857142857
2020-05-16,11710,17462,23512,"hosp",1,-601,-708.428571428571
2020-05-17,10886,16610,22645,"hosp",1,-852,-726.428571428571
2020-05-18,10333,15783,21602,"hosp",1,-827,-750.285714285714
2020-05-19,9684,14973,20547,"hosp",1,-810,-755.714285714286
2020-05-20,9197,14299,19745,"hosp",1,-674,-749.714285714286
2020-05-21,8537,13490,18766,"hosp",1,-809,-744
2020-05-22,7960,12682,17773,"hosp",1,-808,-768.714285714286
2020-05-23,7583,11947,16743,"hosp",1,-735,-787.857142857143
2020-05-24,7231,11285,15920,"hosp",1,-662,-760.714285714286
2020-05-25,6709,10480,14711,"hosp",1,-805,-757.571428571429
2020-05-26,6076,9756,13622,"hosp",1,-724,-745.285714285714
2020-05-27,5711,9216,12965,"hosp",1,-540,-726.142857142857
