GemeenteCode,GemeenteNaam,SchoolRegio
GM1771,Geldrop-Mierlo,zuid
GM1773,Olst-Wijhe,noord
GM1774,Dinkelland,noord
GM1783,Westland,midden
GM1842,Midden-Delfland,midden
GM1859,Berkelland,midden
GM1876,Bronckhorst,midden
GM1883,Sittard-Geleen,zuid
GM1884,Kaag en Braassem,midden
GM1891,Dantumadiel,noord
GM1892,Zuidplas,midden
GM1894,Peel en Maas,zuid
GM1895,Oldambt,noord
GM1896,Zwartewaterland,noord
GM1900,Súdwest-Fryslân,noord
GM1901,Bodegraven-Reeuwijk,midden
GM1903,Eijsden-Margraten,zuid
GM1904,Stichtse Vecht,midden
GM1911,Hollands Kroon,noord
GM1916,Leidschendam-Voorburg,midden
GM1924,Goeree-Overflakkee,midden
GM1926,Pijnacker-Nootdorp,midden
GM1930,Nissewaard,midden
GM1931,Krimpenerwaard,midden
GM1940,De Fryske Marren,noord
GM1942,Gooise Meren,noord
GM1945,Berg en Dal,zuid
GM1948,Meierijstad,zuid
GM1949,Waadhoeke,noord
GM1950,Westerwolde,noord
GM1952,Midden-Groningen,noord
GM1954,Beekdaelen,zuid
GM1955,Montferland,midden
GM1959,Altena,zuid
GM1960,West Betuwe,midden
GM1961,Vijfheerenlanden,midden
GM1963,Hoeksche Waard,midden
GM1966,Het Hogeland,noord
GM1969,Westerkwartier,noord
GM1970,Noardeast-Fryslân,noord
GM1978,Molenlanden,midden
GM1979,Eemsdelta,noord
