name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Aa en Hunze,VR03,GM1680,2106,2899,2001,2158,3085,4267,4213,3145,1361,210
Aalsmeer,VR13,GM0358,3360,4363,3177,3451,4716,5056,3314,2912,1283,227
Aalten,VR06,GM0197,2558,3348,2698,2665,3388,4354,3741,2898,1233,238
Achtkarspelen,VR02,GM0059,3013,3741,2969,3047,3659,3960,3597,2611,1079,167
Alblasserdam,VR18,GM0482,2566,2633,2362,2309,2392,2833,2070,1909,900,191
Albrandswaard,VR17,GM0613,2830,3388,2273,2895,3928,4110,3024,2133,847,162
Alkmaar,VR10,GM0361,11118,11857,13129,14110,14429,15845,14021,10076,4076,775
Almelo,VR05,GM0141,7242,9067,8627,8707,9705,10745,8776,6740,2966,532
Almere,VR25,GM0034,25944,27644,27607,30952,29266,32045,23266,10809,3690,670
Alphen-Chaam,VR20,GM1723,991,1132,981,1012,1209,1715,1527,1104,473,59
Alphen aan den Rijn,VR16,GM0484,11911,13388,13013,13824,14772,16454,13570,10173,4102,690
Altena,VR20,GM1959,6271,7177,6259,6363,6936,8320,6853,5271,2137,380
Ameland,VR02,GM0060,356,386,463,412,445,532,509,436,144,33
Amersfoort,VR09,GM0307,18403,20386,18856,21449,22114,23586,16085,10741,4614,1042
Amstelveen,VR13,GM0362,10888,10152,11339,12342,12199,11885,9788,7609,4373,1100
Amsterdam,VR13,GM0363,86250,80394,167372,160548,113396,108788,81930,50468,19627,3984
Apeldoorn,VR06,GM0200,16379,19169,18438,18832,21166,24345,20856,16254,6966,1413
Appingedam,VR01,GM0003,1017,1352,1078,1154,1414,1771,1722,1385,645,104
Arnhem,VR07,GM0202,16528,17896,25865,23048,22239,22016,16890,11148,4704,1014
Assen,VR03,GM0106,6740,8708,7359,7924,9147,10278,8677,6354,2852,560
Asten,VR22,GM0743,1536,1998,1860,1789,1951,2653,2314,1775,758,87
Baarle-Nassau,VR20,GM0744,619,676,586,733,803,1077,999,906,403,57
Baarn,VR09,GM0308,2538,2795,2213,2613,3123,3857,3343,2739,1342,305
Barendrecht,VR17,GM0489,5446,6975,4633,5155,7215,7772,5425,4014,1770,309
Barneveld,VR07,GM0203,8531,8371,7644,7226,6674,7653,5944,4488,2129,422
Beek (L.),VR24,GM0888,1265,1534,1600,1625,1770,2680,2430,1891,930,140
Beekdaelen,VR24,GM1954,2981,3508,3376,3613,4216,5945,5565,4455,1953,326
Beemster,VR11,GM0370,1196,1120,951,1194,1269,1614,1294,932,393,59
Beesel,VR23,GM0889,1163,1520,1324,1441,1583,2251,1992,1455,638,115
Berg en Dal,VR08,GM1945,2941,3794,3548,3221,4268,5839,5156,4015,1867,343
Bergeijk,VR22,GM1724,1653,2179,2099,1889,2232,3006,2558,2028,886,105
Bergen (L.),VR23,GM0893,1052,1407,1312,1235,1527,2326,2075,1443,623,85
Bergen (NH.),VR10,GM0373,1982,3372,2244,1912,3346,4974,4649,4836,2086,438
Bergen op Zoom,VR20,GM0748,6563,7352,7414,7862,8430,10554,8954,6961,2878,528
Berkelland,VR06,GM1859,3660,5349,4216,3906,5198,7205,6327,5279,2212,395
Bernheze,VR21,GM1721,3012,4005,3509,3275,3870,4819,4088,3042,1372,248
Best,VR22,GM0753,2901,3736,3365,3347,3757,5074,3777,2602,1286,143
Beuningen,VR08,GM0209,2517,2980,2598,2917,3187,4542,3771,2296,937,145
Beverwijk,VR12,GM0375,4381,4590,5201,5576,5494,6206,4773,3451,1609,345
Bladel,VR22,GM1728,1957,2360,2282,2287,2409,3267,2632,2105,951,140
Blaricum,VR14,GM0376,1489,1336,749,1329,1368,1662,1561,1471,495,80
Bloemendaal,VR12,GM0377,2457,3376,1401,1539,3083,3803,3073,2904,1516,419
Bodegraven-Reeuwijk,VR16,GM1901,4028,4389,3856,3963,4239,5050,4265,3411,1405,266
Boekel,VR21,GM0755,1059,1410,1338,1242,1244,1784,1297,952,384,75
Borger-Odoorn,VR03,GM1681,2206,2788,2360,2323,3061,4387,4023,3042,1171,198
Borne,VR05,GM0147,2675,2786,2265,2744,2863,3303,3021,2414,1063,178
Borsele,VR19,GM0654,2453,2847,2410,2437,2790,3450,3090,2116,937,209
Boxmeer,VR21,GM0756,2440,3460,3281,2781,3438,4841,4463,2994,1446,221
Boxtel,VR21,GM0757,2810,3891,3352,3298,3961,4469,4166,3293,1296,265
Breda,VR20,GM0758,18274,21259,27679,23163,23675,25161,20365,15656,7339,1498
Brielle,VR17,GM0501,1551,1849,1816,1879,2207,2859,2305,1897,773,135
Bronckhorst,VR06,GM1876,2778,4405,3239,2783,4150,6266,5746,4420,1886,382
Brummen,VR06,GM0213,1704,2295,2012,1916,2409,3526,2992,2527,1153,192
Brunssum,VR24,GM0899,2250,2675,2745,2974,3285,4677,4267,3148,1525,275
Bunnik,VR09,GM0312,1761,1933,1224,1499,1965,2407,1914,1543,801,144
Bunschoten,VR09,GM0313,2798,2892,2843,2904,2853,2823,2210,1782,660,101
Buren,VR08,GM0214,2651,3195,2551,2765,3508,4591,3784,2679,879,146
Capelle aan den IJssel,VR17,GM0502,7153,7452,7965,8328,8029,9710,8947,6244,2686,608
Castricum,VR10,GM0383,3345,4135,3669,3369,4213,5734,4889,4207,2053,372
Coevorden,VR03,GM0109,3185,4180,3261,3424,4212,5665,5257,3990,1812,311
Cranendonck,VR22,GM1706,1974,2258,2219,2300,2570,3299,2970,2449,941,158
Cuijk,VR21,GM1684,2376,2833,2829,2648,3292,4091,3216,2615,1079,151
Culemborg,VR08,GM0216,3112,3626,3134,3412,3866,4557,3598,2473,1009,168
Dalfsen,VR04,GM0148,3059,3762,2840,2972,3463,4347,3793,2845,1295,211
Dantumadiel,VR02,GM1891,2020,2318,2013,2026,2148,2851,2558,1958,887,143
De Bilt,VR09,GM0310,4599,5476,3599,4245,5321,6507,5661,4526,2551,652
De Fryske Marren,VR02,GM1940,5076,6392,4974,5212,6346,7928,7070,5762,2357,447
De Ronde Venen,VR09,GM0736,4411,5371,4533,4542,5761,7340,5916,4442,1855,285
