name,safetyRegion,Gemeentecode,0-9,okt-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
Heusden,VR21,GM0797,4414,5173,4897,4927,5860,7019,5976,4276,1871,279
Hillegom,VR16,GM0534,2268,2486,2334,2785,2866,3339,2811,2150,973,197
Hilvarenbeek,VR20,GM0798,1392,1880,1531,1539,1865,2629,2152,1715,725,90
Hilversum,VR14,GM0402,10081,10543,10191,12265,12619,12825,9651,7835,3971,850
Hoeksche Waard,VR18,GM1963,8698,10415,8642,9211,11227,13515,11670,9529,3826,668
Hof van Twente,VR05,GM1735,3055,4252,3422,3195,4291,5526,4658,4232,2006,380
Hollands Kroon,VR10,GM1911,4644,5927,5341,5371,6085,7573,6467,4821,1909,294
Hoogeveen,VR03,GM0118,5798,6883,6097,6497,6984,7714,6951,5640,2626,509
Hoorn,VR10,GM0405,7888,8673,8371,9365,9762,10321,9035,7002,2398,446
Horst aan de Maas,VR23,GM1507,3798,4875,4720,4503,5196,6911,5917,4173,2009,327
Houten,VR09,GM0321,5855,7273,4820,5856,7024,7831,6703,3246,1263,275
Huizen,VR14,GM0406,3989,4897,3949,4048,4967,6440,6215,4501,1886,381
Hulst,VR19,GM0677,2238,2821,2495,2775,3516,4611,4090,3229,1490,291
IJsselstein,VR09,GM0353,3475,4782,3600,3551,5053,5510,3860,2854,1187,237
Kaag en Braassem,VR16,GM1884,2739,3139,2982,3024,3364,4335,3789,2649,1110,166
Kampen,VR04,GM0166,6860,7367,6787,6924,6893,7144,5810,4271,1910,353
Kapelle,VR19,GM0678,1384,1669,1274,1359,1585,1850,1672,1226,559,117
Katwijk,VR16,GM0537,7889,8415,8050,8339,8061,9223,7461,5615,2347,353
Kerkrade,VR24,GM0928,3717,3951,4430,5187,5354,7531,7340,5310,2546,383
Koggenland,VR10,GM1598,2298,2915,2501,2342,2876,3551,2980,2268,856,162
Krimpen aan den IJssel,VR17,GM0542,3272,3780,3016,3042,3465,4021,3503,3401,1732,294
Krimpenerwaard,VR16,GM1931,6043,7016,6436,5989,6825,8372,7022,5690,2512,414
Laarbeek,VR22,GM1659,2110,2670,2398,2361,2801,3504,3111,2409,1006,153
Landerd,VR21,GM1685,1531,1889,1692,1632,1874,2477,2265,1578,689,103
Landgraaf,VR24,GM0882,3045,3558,3559,4083,4276,6240,6125,4359,1889,311
Landsmeer,VR11,GM0415,1303,1331,996,1220,1508,1830,1526,1170,519,88
Langedijk,VR10,GM0416,2912,3614,2930,3067,3590,4235,3835,2800,997,183
Lansingerland,VR17,GM1621,8662,8774,5467,7607,9740,9174,6197,4409,2014,340
Laren (NH.),VR14,GM0417,1057,1406,609,831,1350,1745,1476,1590,965,251
Leeuwarden,VR02,GM0080,12116,14179,20113,15414,14747,16716,14581,10614,4620,984
Leiden,VR16,GM0546,10734,12247,28734,16908,14622,15732,12896,8859,3625,742
Leiderdorp,VR16,GM0547,2798,3131,2648,2871,3465,4112,3528,2906,1365,232
Leidschendam-Voorburg,VR15,GM1916,8287,8099,7335,9517,10061,10534,9731,8009,4101,860
Lelystad,VR25,GM0995,8993,10086,9062,10116,10917,10582,9699,6947,1847,349
Leudal,VR23,GM1640,2800,3951,3611,3523,4202,6067,5517,3977,1867,364
Leusden,VR09,GM0327,3173,3815,2757,3204,3787,4658,4323,3128,1308,248
Lingewaard,VR07,GM1705,4580,6005,4145,4776,6325,7211,6636,4758,1855,310
Lisse,VR16,GM0553,2283,2651,2341,2510,2876,3496,3028,2416,1154,200
Lochem,VR06,GM0262,2779,4044,2521,2793,3913,5497,5269,4365,2146,402
