,Municipality_code,Municipality_name,population
191,GM0677,Hulst,27563
192,GM0678,Kapelle,12842
193,GM0687,Middelburg,48973
194,GM0703,Reimerswaal,22931
195,GM0715,Terneuzen,54486
196,GM0716,Tholen,26050
197,GM0717,Veere,21981
198,GM0718,Vlissingen,44330
199,GM0736,De Ronde Venen,44696
200,GM0737,Tytsjerksteradiel,32039
201,GM0743,Asten,16802
202,GM0744,Baarle-Nassau,6901
203,GM0748,Bergen op Zoom,67501
204,GM0753,Best,30196
205,GM0755,Boekel,10922
206,GM0756,Boxmeer,29592
207,GM0757,Boxtel,32675
208,GM0758,Breda,184151
209,GM0762,Deurne,32482
210,GM0765,Pekela,12163
211,GM0766,Dongen,26358
212,GM0770,Eersel,19494
213,GM0772,Eindhoven,235728
214,GM0777,Etten-Leur,43881
215,GM0779,Geertruidenberg,21792
216,GM0784,Gilze en Rijen,26806
217,GM0785,Goirle,23939
218,GM0786,Grave,12429
220,GM0794,Helmond,92614
221,GM0796,'s-Hertogenbosch,155491
222,GM0797,Heusden,45008
223,GM0798,Hilvarenbeek,15683
224,GM0809,Loon op Zand,23497
225,GM0815,Mill en Sint Hubert,11003
226,GM0820,"Nuenen, Gerwen en Nederwetten",23657
227,GM0823,Oirschot,18838
228,GM0824,Oisterwijk,30700
229,GM0826,Oosterhout,56184
230,GM0828,Oss,92442
231,GM0840,Rucphen,23089
232,GM0845,Sint-Michielsgestel,29510
233,GM0847,Someren,19395
234,GM0848,Son en Breugel,17526
235,GM0851,Steenbergen,24315
236,GM0852,Waterland,17325
237,GM0855,Tilburg,221358
238,GM0856,Uden,42244
239,GM0858,Valkenswaard,31253
240,GM0861,Veldhoven,45562
241,GM0865,Vught,30756
242,GM0866,Waalre,17519
243,GM0867,Waalwijk,48826
244,GM0873,Woensdrecht,22002
245,GM0879,Zundert,21995
246,GM0880,Wormerland,16295
247,GM0882,Landgraaf,37325
248,GM0888,Beek,15872
249,GM0889,Beesel,13464
250,GM0893,Bergen (L.),13111
251,GM0899,Brunssum,27655
252,GM0907,Gennep,17019
253,GM0917,Heerlen,86829
254,GM0928,Kerkrade,45499
255,GM0935,Maastricht,120379
256,GM0938,Meerssen,18710
257,GM0944,Mook en Middelaar,7901
258,GM0946,Nederweert,17171
259,GM0957,Roermond,58784
260,GM0965,Simpelveld,10495
261,GM0971,Stein,24876
262,GM0981,Vaals,10113
263,GM0983,Venlo,101967
264,GM0984,Venray,43704
265,GM0986,Voerendaal,12478
266,GM0988,Weert,50008
267,GM0994,Valkenburg aan de Geul,16399
268,GM0995,Lelystad,79703
269,GM1507,Horst aan de Maas,42464
270,GM1509,Oude IJsselstreek,39348
271,GM1525,Teylingen,37761
272,GM1581,Utrechtse Heuvelrug,49962
273,GM1586,Oost Gelre,29574
274,GM1598,Koggenland,22932
275,GM1621,Lansingerland,63295
276,GM1640,Leudal,36027
277,GM1641,Maasgouw,23976
278,GM1652,Gemert-Bakel,30751
279,GM1655,Halderberge,30461
280,GM1658,Heeze-Leende,16222
281,GM1659,Laarbeek,22787
282,GM1667,Reusel-De Mierden,13123
283,GM1669,Roerdalen,20612
284,GM1674,Roosendaal,77256
285,GM1676,Schouwen-Duiveland,33990
286,GM1680,Aa en Hunze,25366
