"","Municipality_name","Gemeente","Totaal","Municipality_code","population","Mondkapje_publiekeruimte","Noodverordening_percentage","Verbod_groepsvorming","Verbod_alcohol","Veilige_afstand","Mondkapje_OV","Totaal_percentage"
"55","Brummen","Brummen",65,"GM0213",20866,0,0.13,0.05,0,0,0,0.31
"56","Brunssum","Brunssum",97,"GM0899",27640,0,0.11,0.05,0,0.04,0,0.35
"57","Bunnik","Bunnik",67,"GM0312",15358,0.01,0.05,0.08,0,0.01,0,0.44
"58","Bunschoten","Bunschoten",238,"GM0313",22081,0.01,0.21,0.17,0,0.04,0,1.08
"59","Buren","Buren",64,"GM0214",27070,0,0.07,0,0,0,0,0.24
"60","Capelle aan den IJssel","Capelle aan den IJssel",356,"GM0502",67349,0.03,0.06,0.06,0,0.01,0,0.53
"61","Castricum","Castricum",149,"GM0383",36087,0.01,0.03,0.1,0,0.05,0,0.41
"62","Coevorden","Coevorden",94,"GM0109",35290,0,0.04,0,0.01,0,0,0.27
"63","Cranendonck","Cranendonck",85,"GM1706",21058,0,0.11,0,0,0.02,0,0.4
"64","Cuijk","Cuijk",196,"GM1684",25482,0,0.31,0.05,0.01,0.06,0,0.77
"65","Culemborg","Culemborg",168,"GM0216",29114,0.01,0.24,0.02,0.02,0.03,0.02,0.58
"66","Dalfsen","Dalfsen",59,"GM0148",28980,0,0.04,0,0,0,0,0.2
"67","Dantumadiel","Dantumadiel",47,"GM1891",18934,0,0.09,0.03,0,0.01,0,0.25
"68","De Bilt","De Bilt",213,"GM0310",43340,0.01,0.05,0.02,0,0.03,0,0.49
"69","De Fryske Marren","De Fryske Marren",200,"GM1940",51782,0,0.06,0,0.01,0.02,0,0.39
"70","De Ronde Venen","De Ronde Venen",288,"GM0736",44756,0,0.06,0.11,0,0.05,0,0.64
"71","De Wolden","De Wolden",49,"GM1690",24406,0,0.06,0,0,0,0,0.2
"72","Delft","Delft",1229,"GM0503",103632,0.02,0.16,0.14,0.01,0.03,0,1.19
"73","Delfzijl","Delfzijl",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Den Helder","Den Helder",557,"GM0400",56580,0.01,0.26,0.02,0,0.13,0,0.98
"75","Deurne","Deurne",158,"GM0762",32430,0,0.07,0.02,0.01,0.11,0,0.49
"76","Deventer","Deventer",495,"GM0150",101411,0,0.13,0.03,0,0.03,0,0.49
"77","Diemen","Diemen",277,"GM0384",31363,0.02,0.27,0,0,0.03,0,0.88
"78","Dinkelland","Dinkelland",81,"GM1774",26565,0,0.02,0.05,0,0.05,0,0.3
"79","Doesburg","Doesburg",55,"GM0221",11089,0,0.1,0.05,0.01,0.06,0,0.5
"80","Doetinchem","Doetinchem",312,"GM0222",58378,0,0.19,0.07,0,0.02,0,0.53
"81","Dongen","Dongen",67,"GM0766",26388,0,0.09,0.02,0,0.02,0,0.25
"82","Dordrecht","Dordrecht",941,"GM0505",119079,0,0.17,0.08,0,0.04,0,0.79
"83","Drechterland","Drechterland",73,"GM0498",19868,0,0.09,0,0,0,0,0.37
"84","Drimmelen","Drimmelen",55,"GM1719",27300,0,0.04,0.04,0,0,0,0.2
"85","Dronten","Dronten",235,"GM0303",42308,0.01,0.17,0.03,0,0.02,0,0.56
"86","Druten","Druten",42,"GM0225",19028,0,0.08,0,0,0,0,0.22
"87","Duiven","Duiven",59,"GM0226",25003,0,0.08,0.02,0,0,0,0.24
"88","Echt-Susteren","Echt-Susteren",228,"GM1711",31774,0.01,0.14,0.05,0,0.14,0,0.72
"89","Edam-Volendam","Edam-Volendam",349,"GM0385",36336,0,0.23,0.03,0,0.06,0,0.96
"90","Ede","Ede",425,"GM0228",118754,0,0.12,0.01,0,0.02,0,0.36
"91","Eemnes","Eemnes",30,"GM0317",9376,0,0.04,0.09,0,0.03,0,0.32
"92","Eersel","Eersel",122,"GM0770",19574,0,0.07,0.03,0,0.04,0,0.62
"93","Eijsden-Margraten","Eijsden-Margraten",64,"GM1903",25852,0,0.09,0,0,0.02,0,0.25
"94","Eindhoven","Eindhoven",2034,"GM0772",235522,0.04,0.14,0.03,0,0.06,0,0.86
"95","Elburg","Elburg",98,"GM0230",23487,0,0.09,0.04,0,0,0,0.42
"96","Emmen","Emmen",340,"GM0114",107115,0,0.01,0.01,0,0.02,0,0.32
"97","Enkhuizen","Enkhuizen",73,"GM0388",18643,0,0.08,0,0,0,0,0.39
"98","Enschede","Enschede",931,"GM0153",159560,0,0.12,0.04,0,0.02,0,0.58
"99","Epe","Epe",116,"GM0232",33154,0,0.11,0.01,0,0.02,0,0.35
"100","Ermelo","Ermelo",147,"GM0233",27036,0,0.07,0.06,0.01,0.01,0,0.54
"101","Etten-Leur","Etten-Leur",260,"GM0777",43848,0,0.18,0.05,0,0.08,0,0.59
"102","Geertruidenberg","Geertruidenberg",103,"GM0779",21854,0,0.15,0.07,0,0,0,0.47
"103","Geldrop-Mierlo","Geldrop-Mierlo",308,"GM1771",40029,0,0.21,0.18,0.02,0.05,0,0.77
"104","Gemert-Bakel","Gemert-Bakel",162,"GM1652",30753,0,0.08,0.04,0.01,0.1,0,0.53
"105","Gennep","Gennep",72,"GM0907",17064,0,0.26,0.01,0,0.06,0,0.42
"106","Gilze en Rijen","Gilze en Rijen",96,"GM0784",26672,0,0.07,0.01,0,0.06,0,0.36
"107","Goeree-Overflakkee","Goeree-Overflakkee",82,"GM1924",50705,0,0.02,0,0,0.02,0,0.16
"108","Goes","Goes",294,"GM0664",38670,0,0.37,0.01,0.01,0.02,0,0.76
"109","Goirle","Goirle",114,"GM0785",23909,0,0.11,0.1,0,0.1,0,0.48
"110","Gooise Meren","Gooise Meren",432,"GM1942",58588,0,0.15,0.03,0,0.06,0.01,0.74
"111","Gorinchem","Gorinchem",192,"GM0512",37362,0,0.16,0.01,0,0,0,0.51
"112","Gouda","Gouda",520,"GM0513",73688,0,0.11,0,0,0.02,0,0.71
"113","Grave","Grave",48,"GM0786",12541,0,0.26,0.03,0,0,0,0.38
"114","Groningen","Groningen",3148,"GM0014",232989,0,0.09,0.01,0.01,0.01,0,1.35
"115","Gulpen-Wittem","Gulpen-Wittem",64,"GM1729",14217,0,0.12,0.03,0,0.02,0,0.45
"116","Haaksbergen","Haaksbergen",82,"GM0158",24219,0,0.07,0.02,0,0.02,0,0.34
"117","Haaren","Haaren",0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Haarlem","Haarlem",1133,"GM0392",162404,0,0.22,0.01,0,0.04,0,0.7
"119","Haarlemmermeer","Haarlemmermeer",1040,"GM0394",157939,0.01,0.18,0.08,0,0.03,0.01,0.66
"120","Halderberge","Halderberge",76,"GM1655",30444,0,0.03,0,0,0.02,0,0.25
"121","Hardenberg","Hardenberg",241,"GM0160",61490,0,0.14,0,0.01,0,0,0.39
"122","Harderwijk","Harderwijk",225,"GM0243",48667,0,0.1,0.08,0,0.02,0,0.46
