"","Municipality_name","Gemeente","Totaal","Municipality_code","population","Mondkapje_publiekeruimte","Noodverordening_percentage","Verbod_groepsvorming","Verbod_alcohol","Veilige_afstand","Mondkapje_OV","Totaal_percentage"
"273","Staphorst","Staphorst",148,"GM0180",17280,0,0.13,0,0,0.05,0,0.86
"274","Stede Broec","Stede Broec",70,"GM0532",21767,0,0.07,0.06,0,0,0,0.32
"275","Steenbergen","Steenbergen",115,"GM0851",24397,0,0.08,0,0,0.08,0,0.47
"276","Steenwijkerland","Steenwijkerland",299,"GM1708",44367,0,0.31,0.02,0,0.08,0,0.67
"277","Stein","Stein",132,"GM0971",24858,0.01,0.03,0.04,0,0.02,0,0.53
"278","Stichtse Vecht","Stichtse Vecht",514,"GM1904",65036,0,0.13,0.04,0,0.06,0,0.79
"279","Súdwest-Fryslân","SÃºdwest-FryslÃ¢n",319,"GM1900",89907,0,0.05,0.01,0,0.03,0,0.35
"280","Terneuzen","Terneuzen",394,"GM0715",54456,0,0.2,0.07,0,0.08,0,0.72
"281","Terschelling","Terschelling",16,"GM0093",4847,0,0.12,0,0,0,0,0.33
"282","Texel","Texel",21,"GM0448",13676,0.01,0.01,0,0,0,0,0.15
"283","Teylingen","Teylingen",95,"GM1525",37796,0,0.06,0.01,0.01,0,0,0.25
"284","Tholen","Tholen",64,"GM0716",26111,0,0.05,0,0,0,0,0.25
"285","Tiel","Tiel",306,"GM0281",41873,0,0.18,0.06,0,0.01,0,0.73
"286","Tilburg","Tilburg",2256,"GM0855",222376,0.05,0.2,0.08,0,0.09,0,1.01
"287","Tubbergen","Tubbergen",61,"GM0183",21288,0,0.08,0,0,0.02,0,0.29
"288","Twenterand","Twenterand",105,"GM1700",33700,0,0.09,0,0,0,0,0.31
"289","Tynaarlo","Tynaarlo",54,"GM1730",34002,0,0.02,0.02,0,0.01,0,0.16
"290","Tytsjerksteradiel","Tytsjerksteradiel",71,"GM0737",32047,0,0.03,0.07,0,0.02,0,0.22
"291","Uden","Uden",299,"GM0856",42307,0,0.27,0.05,0.01,0.1,0,0.71
"292","Uitgeest","Uitgeest",39,"GM0450",13639,0,0.1,0,0,0.02,0.01,0.29
"293","Uithoorn","Uithoorn",90,"GM0451",30274,0.02,0.04,0.02,0,0,0,0.3
"294","Urk","Urk",484,"GM0184",21263,0,0.55,0.01,0,0,0,2.28
"295","Utrecht","Utrecht",4596,"GM0344",359200,0.04,0.2,0.07,0.01,0.08,0,1.28
"296","Utrechtse Heuvelrug","Utrechtse Heuvelrug",170,"GM1581",49948,0,0.07,0.01,0,0,0,0.34
"297","Vaals","Vaals",40,"GM0981",10065,0,0.06,0.03,0,0.03,0,0.4
"298","Valkenburg aan de Geul","Valkenburg aan de Geul",70,"GM0994",16321,0,0.04,0.13,0,0.07,0,0.43
"299","Valkenswaard","Valkenswaard",166,"GM0858",31250,0,0.03,0.04,0,0.05,0,0.53
"300","Veendam","Veendam",109,"GM0047",27440,0,0.09,0.02,0.01,0.03,0,0.4
"301","Veenendaal","Veenendaal",335,"GM0345",66967,0,0.07,0.01,0,0.05,0,0.5
"302","Veere","Veere",56,"GM0717",21895,0,0.12,0,0,0,0,0.26
"303","Veldhoven","Veldhoven",176,"GM0861",45527,0.01,0.11,0.01,0,0,0,0.39
"304","Velsen","Velsen",437,"GM0453",68548,0,0.2,0.02,0,0.04,0,0.64
"305","Venlo","Venlo",697,"GM0983",101999,0,0.25,0.01,0,0.03,0,0.68
"306","Venray","Venray",140,"GM0984",43744,0,0.19,0,0,0,0,0.32
"307","Vijfheerenlanden","Vijfheerenlanden",313,"GM1961",57965,0,0.08,0.02,0,0.04,0.01,0.54
"308","Vlaardingen","Vlaardingen",295,"GM0622",74000,0,0.13,0.03,0,0,0,0.4
"309","Vlieland","Vlieland",10,"GM0096",1187,0,0,0,0,0,0.17,0.84
"310","Vlissingen","Vlissingen",384,"GM0718",44268,0,0.17,0.12,0,0.01,0,0.87
"311","Voerendaal","Voerendaal",11,"GM0986",12490,0,0,0,0,0,0,0.09
"312","Voorschoten","Voorschoten",58,"GM0626",25611,0,0.05,0,0,0.01,0,0.23
"313","Voorst","Voorst",78,"GM0285",24846,0.01,0.02,0.06,0,0.05,0,0.31
"314","Vught","Vught",94,"GM0865",31587,0,0.04,0.05,0,0,0,0.3
"315","Waadhoeke","Waadhoeke",133,"GM1949",46154,0,0.12,0.01,0,0.02,0,0.29
"316","Waalre","Waalre",61,"GM0866",17551,0,0.07,0,0,0.02,0,0.35
"317","Waalwijk","Waalwijk",330,"GM0867",48798,0,0.1,0.12,0,0.11,0,0.68
"318","Waddinxveen","Waddinxveen",151,"GM0627",30627,0,0.12,0.01,0,0.03,0,0.49
"319","Wageningen","Wageningen",255,"GM0289",39629,0,0.05,0.01,0.01,0.03,0,0.64
"320","Wassenaar","Wassenaar",169,"GM0629",27001,0,0.19,0.04,0.02,0.03,0,0.63
"321","Waterland","Waterland",48,"GM0852",17284,0,0.13,0,0,0.03,0,0.28
"322","Weert","Weert",230,"GM0988",50024,0,0.1,0,0,0.02,0,0.46
"323","Weesp","Weesp",65,"GM0457",20461,0,0.07,0.08,0,0.01,0,0.32
"324","West Betuwe","West Betuwe",310,"GM1960",51533,0,0.2,0.11,0,0.08,0,0.6
"325","West Maas en Waal","West Maas en Waal",40,"GM0668",19631,0,0,0,0,0,0,0.2
"326","Westerkwartier","Westerkwartier",248,"GM1969",63702,0.01,0.09,0.04,0,0.02,0,0.39
"327","Westerveld","Westerveld",67,"GM1701",19721,0,0.04,0.18,0,0,0,0.34
"328","Westervoort","Westervoort",35,"GM0293",14975,0,0.07,0.07,0,0,0,0.23
"329","Westerwolde","Westerwolde",56,"GM1950",25918,0,0.02,0,0,0.02,0,0.22
"330","Westland","Westland",989,"GM1783",111567,0.02,0.24,0.06,0.01,0.12,0,0.89
"331","Weststellingwerf","Weststellingwerf",72,"GM0098",26161,0,0.11,0.01,0,0,0,0.28
"332","Westvoorne","Westvoorne",32,"GM0614",14890,0,0.01,0,0,0,0,0.21
"333","Wierden","Wierden",40,"GM0189",24579,0,0.05,0,0,0.01,0,0.16
"334","Wijchen","Wijchen",136,"GM0296",41259,0,0.04,0.02,0,0.03,0,0.33
"335","Wijdemeren","Wijdemeren",71,"GM1696",24503,0,0.01,0.08,0,0.03,0,0.29
"336","Wijk bij Duurstede","Wijk bij Duurstede",81,"GM0352",23936,0,0.09,0,0,0.01,0,0.34
"337","Winterswijk","Winterswijk",225,"GM0294",29100,0,0.18,0.11,0.02,0.14,0,0.77
"338","Woensdrecht","Woensdrecht",100,"GM0873",22061,0,0.11,0,0,0.07,0,0.45
"339","Woerden","Woerden",299,"GM0632",52784,0,0.11,0.02,0,0.03,0,0.57
"340","Wormerland","Wormerland",19,"GM0880",16303,0,0,0,0,0,0,0.12
"341","Woudenberg","Woudenberg",105,"GM0351",13670,0,0.18,0.12,0.04,0,0,0.77
"342","Zaanstad","Zaanstad",756,"GM0479",156948,0,0.19,0.01,0,0.02,0,0.48
"343","Zaltbommel","Zaltbommel",260,"GM0297",29536,0,0.2,0,0,0.07,0,0.88
"344","Zandvoort","Zandvoort",113,"GM0473",17100,0.01,0.04,0.08,0.01,0.08,0,0.66
"345","Zeewolde","Zeewolde",114,"GM0050",22978,0,0.06,0.08,0.01,0,0,0.5
"346","Zeist","Zeist",446,"GM0355",65058,0.01,0.2,0.1,0,0.04,0,0.69
"347","Zevenaar","Zevenaar",156,"GM0299",44222,0,0.13,0.08,0,0,0,0.35
"348","Zoetermeer","Zoetermeer",990,"GM0637",125248,0.01,0.32,0.1,0,0.07,0,0.79
"349","Zoeterwoude","Zoeterwoude",29,"GM0638",8931,0,0,0.15,0,0.02,0,0.32
"350","Zuidplas","Zuidplas",248,"GM1892",45177,0.01,0.1,0.01,0,0.06,0,0.55
"351","Zundert","Zundert",119,"GM0879",22050,0,0.28,0,0,0.03,0,0.54
"352","Zutphen","Zutphen",317,"GM0301",48228,0,0.14,0.03,0,0.04,0,0.66
"353","Zwartewaterland","Zwartewaterland",86,"GM1896",22836,0,0.12,0,0,0.04,0,0.38
"354","Zwijndrecht","Zwijndrecht",163,"GM0642",44763,0,0.11,0.02,0,0.01,0,0.36
"355","Zwolle","Zwolle",764,"GM0193",129915,0.02,0.1,0.03,0,0.02,0,0.59
