"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1624320000,1609632000,1624368559,2021-06-22
195753,1609718400,1624320000,1610236800,1624368559,2021-06-22
342857,1610323200,1624320000,1610841600,1624368559,2021-06-22
538936,1610928000,1624320000,1611446400,1624368559,2021-06-22
630442,1611532800,1624320000,1612051200,1624368559,2021-06-22
839411,1612137600,1624320000,1612656000,1624368559,2021-06-22
1075348,1612742400,1624320000,1613260800,1624368559,2021-06-22
1321373,1613347200,1624320000,1613865600,1624368559,2021-06-22
1671922,1613952000,1624320000,1614470400,1624368559,2021-06-22
2086791,1614556800,1624320000,1615075200,1624368559,2021-06-22
2473693,1615161600,1624320000,1615680000,1624368559,2021-06-22
2777435,1615766400,1624320000,1616284800,1624368559,2021-06-22
3085523,1616371200,1624320000,1616889600,1624368559,2021-06-22
3409362,1616976000,1624320000,1617494400,1624368559,2021-06-22
4222885,1617580800,1624320000,1618099200,1624368559,2021-06-22
4730666,1618185600,1624320000,1618704000,1624368559,2021-06-22
5541624,1618790400,1624320000,1619308800,1624368559,2021-06-22
6135357,1619395200,1624320000,1619913600,1624368559,2021-06-22
7501270,1620000000,1624320000,1620518400,1624368559,2021-06-22
8245433,1620604800,1624320000,1621123200,1624368559,2021-06-22
9201525,1621209600,1624320000,1621728000,1624368559,2021-06-22
10160330,1621814400,1624320000,1622332800,1624368559,2021-06-22
11131253,1622419200,1624320000,1622937600,1624368559,2021-06-22
12872704,1623024000,1624320000,1623542400,1624368559,2021-06-22
14128776,1623628800,1624320000,1624147200,1624368559,2021-06-22
