"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1622505600,1609632000,1622556802,2021-06-01
195753,1609718400,1622505600,1610236800,1622556802,2021-06-01
342857,1610323200,1622505600,1610841600,1622556802,2021-06-01
538936,1610928000,1622505600,1611446400,1622556802,2021-06-01
630442,1611532800,1622505600,1612051200,1622556802,2021-06-01
839411,1612137600,1622505600,1612656000,1622556802,2021-06-01
1075348,1612742400,1622505600,1613260800,1622556802,2021-06-01
1321373,1613347200,1622505600,1613865600,1622556802,2021-06-01
1671922,1613952000,1622505600,1614470400,1622556802,2021-06-01
2088177,1614556800,1622505600,1615075200,1622556802,2021-06-01
2475079,1615161600,1622505600,1615680000,1622556802,2021-06-01
2777435,1615766400,1622505600,1616284800,1622556802,2021-06-01
3086018,1616371200,1622505600,1616889600,1622556802,2021-06-01
3424163,1616976000,1622505600,1617494400,1622556802,2021-06-01
4237685,1617580800,1622505600,1618099200,1622556802,2021-06-01
4745466,1618185600,1622505600,1618704000,1622556802,2021-06-01
5556425,1618790400,1622505600,1619308800,1622556802,2021-06-01
6150157,1619395200,1622505600,1619913600,1622556802,2021-06-01
7531128,1620000000,1622505600,1620518400,1622556802,2021-06-01
8275291,1620604800,1622505600,1621123200,1622556802,2021-06-01
9231384,1621209600,1622505600,1621728000,1622556802,2021-06-01
10190189,1621814400,1622505600,1622332800,1622556802,2021-06-01
