"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1625529600,1609632000,1625583580,2021-07-06
195753,1609718400,1625529600,1610236800,1625583580,2021-07-06
342857,1610323200,1625529600,1610841600,1625583580,2021-07-06
538936,1610928000,1625529600,1611446400,1625583580,2021-07-06
630442,1611532800,1625529600,1612051200,1625583580,2021-07-06
839411,1612137600,1625529600,1612656000,1625583580,2021-07-06
1075348,1612742400,1625529600,1613260800,1625583580,2021-07-06
1321373,1613347200,1625529600,1613865600,1625583580,2021-07-06
1671922,1613952000,1625529600,1614470400,1625583580,2021-07-06
2088177,1614556800,1625529600,1615075200,1625583580,2021-07-06
2475079,1615161600,1625529600,1615680000,1625583580,2021-07-06
2777435,1615766400,1625529600,1616284800,1625583580,2021-07-06
3086018,1616371200,1625529600,1616889600,1625583580,2021-07-06
3409362,1616976000,1625529600,1617494400,1625583580,2021-07-06
4222885,1617580800,1625529600,1618099200,1625583580,2021-07-06
4730666,1618185600,1625529600,1618704000,1625583580,2021-07-06
5541624,1618790400,1625529600,1619308800,1625583580,2021-07-06
6135357,1619395200,1625529600,1619913600,1625583580,2021-07-06
7501270,1620000000,1625529600,1620518400,1625583580,2021-07-06
8245433,1620604800,1625529600,1621123200,1625583580,2021-07-06
9201525,1621209600,1625529600,1621728000,1625583580,2021-07-06
10160330,1621814400,1625529600,1622332800,1625583580,2021-07-06
11131253,1622419200,1625529600,1622937600,1625583580,2021-07-06
12782704,1623024000,1625529600,1623542400,1625583580,2021-07-06
14743459,1623628800,1625529600,1624147200,1625583580,2021-07-06
16034141,1624233600,1625529600,1624752000,1625583580,2021-07-06
17793578,1624838400,1625529600,1625356800,1625583580,2021-07-06
