"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1621468800,1609632000,1621609319,2021-05-21
195753,1609718400,1621468800,1610236800,1621609319,2021-05-21
342857,1610323200,1621468800,1610841600,1621609319,2021-05-21
538936,1610928000,1621468800,1611446400,1621609319,2021-05-21
630442,1611532800,1621468800,1612051200,1621609319,2021-05-21
839411,1612137600,1621468800,1612656000,1621609319,2021-05-21
1075348,1612742400,1621468800,1613260800,1621609319,2021-05-21
1321373,1613347200,1621468800,1613865600,1621609319,2021-05-21
1671922,1613952000,1621468800,1614470400,1621609319,2021-05-21
2086791,1614556800,1621468800,1615075200,1621609319,2021-05-21
2473693,1615161600,1621468800,1615680000,1621609319,2021-05-21
2777435,1615766400,1621468800,1616284800,1621609319,2021-05-21
3085523,1616371200,1621468800,1616889600,1621609319,2021-05-21
3424163,1616976000,1621468800,1617494400,1621609319,2021-05-21
4237685,1617580800,1621468800,1618099200,1621609319,2021-05-21
4745466,1618185600,1621468800,1618704000,1621609319,2021-05-21
5556425,1618790400,1621468800,1619308800,1621609319,2021-05-21
6150157,1619395200,1621468800,1619913600,1621609319,2021-05-21
7531128,1620000000,1621468800,1620518400,1621609319,2021-05-21
8275291,1620604800,1621468800,1621123200,1621609319,2021-05-21
