"date_start_unix","date_end_unix","astra_zeneca","pfizer","cure_vac","janssen","moderna","sanofi","date_of_insertion_unix","date"
1613347200,1613865600,0,189540,0,0,0,0,1611839866,2021-01-28
1613952000,1614470400,0,200070,0,0,141600,0,1611839866,2021-01-28
1614556800,1615075200,0,196560,0,0,0,0,1611839866,2021-01-28
1615161600,1615680000,0,212940,0,0,0,0,1611839866,2021-01-28
1615766400,1616284800,0,212940,0,0,0,0,1611839866,2021-01-28
1616371200,1616889600,0,212940,0,0,0,0,1611839866,2021-01-28
