"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1617148800,1609632000,1617624156,2021-04-05
187844,1609718400,1617148800,1610236800,1617624156,2021-04-05
329004,1610323200,1617148800,1610841600,1617624156,2021-04-05
517161,1610928000,1617148800,1611446400,1617624156,2021-04-05
604970,1611532800,1617148800,1612051200,1617624156,2021-04-05
805496,1612137600,1617148800,1612656000,1617624156,2021-04-05
1031900,1612742400,1617148800,1613260800,1617624156,2021-04-05
1309832,1613347200,1617148800,1613865600,1617624156,2021-04-05
1633250,1613952000,1617148800,1614470400,1617624156,2021-04-05
2019720,1614556800,1617148800,1615075200,1617624156,2021-04-05
2390989,1615161600,1617148800,1615680000,1617624156,2021-04-05
2669919,1615766400,1617148800,1616284800,1617624156,2021-04-05
2965534,1616371200,1617148800,1616889600,1617624156,2021-04-05
