"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1623110400,1609632000,1623166946,2021-06-08
195753,1609718400,1623110400,1610236800,1623166946,2021-06-08
342857,1610323200,1623110400,1610841600,1623166946,2021-06-08
538936,1610928000,1623110400,1611446400,1623166946,2021-06-08
630442,1611532800,1623110400,1612051200,1623166946,2021-06-08
839411,1612137600,1623110400,1612656000,1623166946,2021-06-08
1075348,1612742400,1623110400,1613260800,1623166946,2021-06-08
1321373,1613347200,1623110400,1613865600,1623166946,2021-06-08
1671922,1613952000,1623110400,1614470400,1623166946,2021-06-08
2086791,1614556800,1623110400,1615075200,1623166946,2021-06-08
2473693,1615161600,1623110400,1615680000,1623166946,2021-06-08
2777435,1615766400,1623110400,1616284800,1623166946,2021-06-08
3085523,1616371200,1623110400,1616889600,1623166946,2021-06-08
3409362,1616976000,1623110400,1617494400,1623166946,2021-06-08
4222885,1617580800,1623110400,1618099200,1623166946,2021-06-08
4730666,1618185600,1623110400,1618704000,1623166946,2021-06-08
5541624,1618790400,1623110400,1619308800,1623166946,2021-06-08
6135357,1619395200,1623110400,1619913600,1623166946,2021-06-08
7501270,1620000000,1623110400,1620518400,1623166946,2021-06-08
8245433,1620604800,1623110400,1621123200,1623166946,2021-06-08
9201525,1621209600,1623110400,1621728000,1623166946,2021-06-08
10160330,1621814400,1623110400,1622332800,1623166946,2021-06-08
11131253,1622419200,1623110400,1622937600,1623166946,2021-06-08
