"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1618272000,1609632000,1618660929,2021-04-17
195753,1609718400,1618272000,1610236800,1618660929,2021-04-17
342857,1610323200,1618272000,1610841600,1618660929,2021-04-17
538936,1610928000,1618272000,1611446400,1618660929,2021-04-17
630442,1611532800,1618272000,1612051200,1618660929,2021-04-17
839411,1612137600,1618272000,1612656000,1618660929,2021-04-17
1075348,1612742400,1618272000,1613260800,1618660929,2021-04-17
1364983,1613347200,1618272000,1613865600,1618660929,2021-04-17
1702019,1613952000,1618272000,1614470400,1618660929,2021-04-17
2104760,1614556800,1618272000,1615075200,1618660929,2021-04-17
2491661,1615161600,1618272000,1615680000,1618660929,2021-04-17
2795403,1615766400,1618272000,1616284800,1618660929,2021-04-17
3103491,1616371200,1618272000,1616889600,1618660929,2021-04-17
3427825,1616976000,1618272000,1617494400,1618660929,2021-04-17
4305698,1617580800,1618272000,1618099200,1618660929,2021-04-17
