"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1624492800,1609632000,1624533017,2021-06-24
195753,1609718400,1624492800,1610236800,1624533017,2021-06-24
342857,1610323200,1624492800,1610841600,1624533017,2021-06-24
538936,1610928000,1624492800,1611446400,1624533017,2021-06-24
630442,1611532800,1624492800,1612051200,1624533017,2021-06-24
839411,1612137600,1624492800,1612656000,1624533017,2021-06-24
1075348,1612742400,1624492800,1613260800,1624533017,2021-06-24
1321373,1613347200,1624492800,1613865600,1624533017,2021-06-24
1671922,1613952000,1624492800,1614470400,1624533017,2021-06-24
2086791,1614556800,1624492800,1615075200,1624533017,2021-06-24
2473693,1615161600,1624492800,1615680000,1624533017,2021-06-24
2777435,1615766400,1624492800,1616284800,1624533017,2021-06-24
3085523,1616371200,1624492800,1616889600,1624533017,2021-06-24
3409362,1616976000,1624492800,1617494400,1624533017,2021-06-24
4222885,1617580800,1624492800,1618099200,1624533017,2021-06-24
4730666,1618185600,1624492800,1618704000,1624533017,2021-06-24
5541624,1618790400,1624492800,1619308800,1624533017,2021-06-24
6135357,1619395200,1624492800,1619913600,1624533017,2021-06-24
7501270,1620000000,1624492800,1620518400,1624533017,2021-06-24
8245433,1620604800,1624492800,1621123200,1624533017,2021-06-24
9201525,1621209600,1624492800,1621728000,1624533017,2021-06-24
10160330,1621814400,1624492800,1622332800,1624533017,2021-06-24
11131253,1622419200,1624492800,1622937600,1624533017,2021-06-24
12872704,1623024000,1624492800,1623542400,1624533017,2021-06-24
14128776,1623628800,1624492800,1624147200,1624533017,2021-06-24
