"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1617667200,1609632000,1617812929,2021-04-07
187844,1609718400,1617667200,1610236800,1617812929,2021-04-07
329004,1610323200,1617667200,1610841600,1617812929,2021-04-07
517161,1610928000,1617667200,1611446400,1617812929,2021-04-07
604970,1611532800,1617667200,1612051200,1617812929,2021-04-07
805496,1612137600,1617667200,1612656000,1617812929,2021-04-07
1031900,1612742400,1617667200,1613260800,1617812929,2021-04-07
1309832,1613347200,1617667200,1613865600,1617812929,2021-04-07
1633250,1613952000,1617667200,1614470400,1617812929,2021-04-07
2019720,1614556800,1617667200,1615075200,1617812929,2021-04-07
2390989,1615161600,1617667200,1615680000,1617812929,2021-04-07
2669919,1615766400,1617667200,1616284800,1617812929,2021-04-07
2965534,1616371200,1617667200,1616889600,1617812929,2021-04-07
3276289,1616976000,1617667200,1617494400,1617812929,2021-04-07
