"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1619568000,1609632000,1619640286,2021-04-28
195753,1609718400,1619568000,1610236800,1619640286,2021-04-28
342857,1610323200,1619568000,1610841600,1619640286,2021-04-28
538936,1610928000,1619568000,1611446400,1619640286,2021-04-28
630442,1611532800,1619568000,1612051200,1619640286,2021-04-28
839411,1612137600,1619568000,1612656000,1619640286,2021-04-28
1075348,1612742400,1619568000,1613260800,1619640286,2021-04-28
1321373,1613347200,1619568000,1613865600,1619640286,2021-04-28
1671922,1613952000,1619568000,1614470400,1619640286,2021-04-28
2086791,1614556800,1619568000,1615075200,1619640286,2021-04-28
2473693,1615161600,1619568000,1615680000,1619640286,2021-04-28
2777435,1615766400,1619568000,1616284800,1619640286,2021-04-28
3084335,1616371200,1619568000,1616889600,1619640286,2021-04-28
3422975,1616976000,1619568000,1617494400,1619640286,2021-04-28
4236497,1617580800,1619568000,1618099200,1619640286,2021-04-28
4744278,1618185600,1619568000,1618704000,1619640286,2021-04-28
5555237,1618790400,1619568000,1619308800,1619640286,2021-04-28
