"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1623715200,1609632000,1623786461,2021-06-15
195753,1609718400,1623715200,1610236800,1623786461,2021-06-15
342857,1610323200,1623715200,1610841600,1623786461,2021-06-15
538936,1610928000,1623715200,1611446400,1623786461,2021-06-15
630442,1611532800,1623715200,1612051200,1623786461,2021-06-15
839411,1612137600,1623715200,1612656000,1623786461,2021-06-15
1075348,1612742400,1623715200,1613260800,1623786461,2021-06-15
1321373,1613347200,1623715200,1613865600,1623786461,2021-06-15
1671922,1613952000,1623715200,1614470400,1623786461,2021-06-15
2086791,1614556800,1623715200,1615075200,1623786461,2021-06-15
2473693,1615161600,1623715200,1615680000,1623786461,2021-06-15
2777435,1615766400,1623715200,1616284800,1623786461,2021-06-15
3085523,1616371200,1623715200,1616889600,1623786461,2021-06-15
3409362,1616976000,1623715200,1617494400,1623786461,2021-06-15
4222885,1617580800,1623715200,1618099200,1623786461,2021-06-15
4730666,1618185600,1623715200,1618704000,1623786461,2021-06-15
5541624,1618790400,1623715200,1619308800,1623786461,2021-06-15
6135357,1619395200,1623715200,1619913600,1623786461,2021-06-15
7501270,1620000000,1623715200,1620518400,1623786461,2021-06-15
8245433,1620604800,1623715200,1621123200,1623786461,2021-06-15
9201525,1621209600,1623715200,1621728000,1623786461,2021-06-15
10160330,1621814400,1623715200,1622332800,1623786461,2021-06-15
11131253,1622419200,1623715200,1622937600,1623786461,2021-06-15
12872704,1623024000,1623715200,1623542400,1623786461,2021-06-15
