"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1618876800,1609632000,1618933998,2021-04-20
195753,1609718400,1618876800,1610236800,1618933998,2021-04-20
342857,1610323200,1618876800,1610841600,1618933998,2021-04-20
538936,1610928000,1618876800,1611446400,1618933998,2021-04-20
630442,1611532800,1618876800,1612051200,1618933998,2021-04-20
839411,1612137600,1618876800,1612656000,1618933998,2021-04-20
1075348,1612742400,1618876800,1613260800,1618933998,2021-04-20
1321373,1613347200,1618876800,1613865600,1618933998,2021-04-20
1671922,1613952000,1618876800,1614470400,1618933998,2021-04-20
2088177,1614556800,1618876800,1615075200,1618933998,2021-04-20
2475079,1615161600,1618876800,1615680000,1618933998,2021-04-20
2777435,1615766400,1618876800,1616284800,1618933998,2021-04-20
3084830,1616371200,1618876800,1616889600,1618933998,2021-04-20
3422975,1616976000,1618876800,1617494400,1618933998,2021-04-20
4236497,1617580800,1618876800,1618099200,1618933998,2021-04-20
4744278,1618185600,1618876800,1618704000,1618933998,2021-04-20
