"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1620086400,1609632000,1620302538,2021-05-06
195753,1609718400,1620086400,1610236800,1620302538,2021-05-06
342857,1610323200,1620086400,1610841600,1620302538,2021-05-06
538936,1610928000,1620086400,1611446400,1620302538,2021-05-06
630442,1611532800,1620086400,1612051200,1620302538,2021-05-06
839411,1612137600,1620086400,1612656000,1620302538,2021-05-06
1075348,1612742400,1620086400,1613260800,1620302538,2021-05-06
1321373,1613347200,1620086400,1613865600,1620302538,2021-05-06
1671922,1613952000,1620086400,1614470400,1620302538,2021-05-06
2086791,1614556800,1620086400,1615075200,1620302538,2021-05-06
2473693,1615161600,1620086400,1615680000,1620302538,2021-05-06
2777435,1615766400,1620086400,1616284800,1620302538,2021-05-06
3084335,1616371200,1620086400,1616889600,1620302538,2021-05-06
3422975,1616976000,1620086400,1617494400,1620302538,2021-05-06
4236497,1617580800,1620086400,1618099200,1620302538,2021-05-06
4744278,1618185600,1620086400,1618704000,1620302538,2021-05-06
5555237,1618790400,1620086400,1619308800,1620302538,2021-05-06
6148969,1619395200,1620086400,1619913600,1620302538,2021-05-06
