"total","date_start_unix","date_of_report_unix","date_end_unix","date_of_insertion_unix","date"
0,1609113600,1621900800,1609632000,1621949897,2021-05-25
195753,1609718400,1621900800,1610236800,1621949897,2021-05-25
342857,1610323200,1621900800,1610841600,1621949897,2021-05-25
538936,1610928000,1621900800,1611446400,1621949897,2021-05-25
630442,1611532800,1621900800,1612051200,1621949897,2021-05-25
839411,1612137600,1621900800,1612656000,1621949897,2021-05-25
1075348,1612742400,1621900800,1613260800,1621949897,2021-05-25
1321373,1613347200,1621900800,1613865600,1621949897,2021-05-25
1671922,1613952000,1621900800,1614470400,1621949897,2021-05-25
2086791,1614556800,1621900800,1615075200,1621949897,2021-05-25
2473693,1615161600,1621900800,1615680000,1621949897,2021-05-25
2777435,1615766400,1621900800,1616284800,1621949897,2021-05-25
3085523,1616371200,1621900800,1616889600,1621949897,2021-05-25
3424163,1616976000,1621900800,1617494400,1621949897,2021-05-25
4237685,1617580800,1621900800,1618099200,1621949897,2021-05-25
4745466,1618185600,1621900800,1618704000,1621949897,2021-05-25
5556425,1618790400,1621900800,1619308800,1621949897,2021-05-25
6150157,1619395200,1621900800,1619913600,1621949897,2021-05-25
7531128,1620000000,1621900800,1620518400,1621949897,2021-05-25
8275291,1620604800,1621900800,1621123200,1621949897,2021-05-25
9231384,1621209600,1621900800,1621728000,1621949897,2021-05-25
