"date","Overleden","Ontslagen","Overleden_pdag","Ontslagen_pdag"
"2020-02-27",0,3,0,0
"2020-02-28",0,4,0,1
"2020-02-29",0,4,0,0
"2020-03-01",0,4,0,0
"2020-03-02",0,5,0,1
"2020-03-03",0,6,0,1
"2020-03-04",0,8,0,2
"2020-03-05",0,9,0,1
"2020-03-06",0,9,0,0
"2020-03-07",1,10,1,1
"2020-03-08",2,14,1,4
"2020-03-09",2,20,0,6
"2020-03-10",2,27,0,7
"2020-03-11",4,33,2,6
"2020-03-12",6,40,2,7
"2020-03-13",11,51,5,11
"2020-03-14",20,64,9,13
"2020-03-15",28,79,8,15
"2020-03-16",37,123,9,44
"2020-03-17",52,161,15,38
"2020-03-18",66,207,14,46
"2020-03-19",83,262,17,55
"2020-03-20",109,340,26,78
"2020-03-21",142,430,33,90
"2020-03-22",177,509,35,79
"2020-03-23",227,616,50,107
"2020-03-24",265,778,38,162
"2020-03-25",321,949,56,171
"2020-03-26",386,1165,65,216
"2020-03-27",438,1446,52,281
"2020-03-28",520,1648,82,202
"2020-03-29",581,1850,61,202
"2020-03-30",641,2144,60,294
"2020-03-31",722,2471,81,327
"2020-04-01",783,2762,61,291
"2020-04-02",841,3049,58,287
"2020-04-03",892,3366,51,317
"2020-04-04",952,3557,60,191
"2020-04-05",998,3747,46,190
"2020-04-06",1056,4044,58,297
"2020-04-07",1114,4323,58,279
"2020-04-08",1149,4647,35,324
"2020-04-09",1189,4905,40,258
"2020-04-10",1236,5174,47,269
"2020-04-11",1288,5327,52,153
"2020-04-12",1312,5479,24,152
"2020-04-13",1345,5604,33,125
"2020-04-14",1381,5775,36,171
"2020-04-15",1411,5964,30,189
"2020-04-16",1443,6123,32,159
"2020-04-17",1479,6305,36,182
"2020-04-18",1497,6396,18,91
"2020-04-19",1511,6458,14,62
"2020-04-20",1535,6600,24,142
"2020-04-21",1556,6750,21,150
"2020-04-22",1582,6875,26,125
"2020-04-23",1603,7000,21,125
"2020-04-24",1624,7155,21,155
"2020-04-25",1642,7225,18,70
"2020-04-26",1658,7294,16,69
"2020-04-27",1671,7368,13,74
"2020-04-28",1696,7465,25,97
"2020-04-29",1706,7545,10,80
"2020-04-30",1719,7638,13,93
"2020-05-01",1730,7736,11,98
"2020-05-02",1741,7781,11,45
"2020-05-03",1753,7798,12,17
"2020-05-04",1762,7882,9,84
"2020-05-05",1772,7922,10,40
"2020-05-06",1779,7986,7,64
"2020-05-07",1787,8054,8,68
"2020-05-08",1798,8119,11,65
"2020-05-09",1806,8161,8,42
"2020-05-10",1814,8186,8,25
"2020-05-11",1822,8249,8,63
"2020-05-12",1828,8313,6,64
"2020-05-13",1836,8374,8,61
"2020-05-14",1844,8434,8,60
"2020-05-15",1852,8488,8,54
"2020-05-16",1858,8509,6,21
"2020-05-17",1863,8520,5,11
"2020-05-18",1868,8561,5,41
"2020-05-19",1872,8609,4,48
"2020-05-20",1874,8661,2,52
"2020-05-21",1875,8679,1,18
"2020-05-22",1880,8734,5,55
"2020-05-23",1883,8764,3,30
"2020-05-24",1886,8781,3,17
"2020-05-25",1891,8814,5,33
"2020-05-26",1900,8860,9,46
"2020-05-27",1909,8898,9,38
"2020-05-28",1911,8926,2,28
"2020-05-29",1914,8963,3,37
"2020-05-30",1920,8982,6,19
"2020-05-31",1924,8992,4,10
"2020-06-01",1930,9004,6,12
"2020-06-02",1937,9026,7,22
"2020-06-03",1939,9061,2,35
"2020-06-04",1944,9092,5,31
"2020-06-05",1948,9129,4,37
"2020-06-06",1950,9142,2,13
"2020-06-07",1955,9153,5,11
"2020-06-08",1961,9182,6,29
"2020-06-09",1965,9203,4,21
"2020-06-10",1966,9219,1,16
"2020-06-11",1968,9230,2,11
"2020-06-12",1970,9253,2,23
"2020-06-13",1972,9260,2,7
"2020-06-14",1972,9267,0,7
"2020-06-15",1973,9279,1,12
"2020-06-16",1975,9295,2,16
"2020-06-17",1975,9309,0,14
"2020-06-18",1976,9323,1,14
"2020-06-19",1977,9346,1,23
"2020-06-20",1977,9356,0,10
"2020-06-21",1978,9364,1,8
"2020-06-22",1978,9376,0,12
"2020-06-23",1978,9393,0,17
"2020-06-24",1979,9398,1,5
"2020-06-25",1981,9407,2,9
"2020-06-26",1983,9426,2,19
"2020-06-27",1984,9432,1,6
"2020-06-28",1985,9436,1,4
"2020-06-29",1987,9456,2,20
"2020-06-30",1987,9469,0,13
"2020-07-01",1990,9477,3,8
"2020-07-02",1991,9483,1,6
"2020-07-03",1991,9495,0,12
"2020-07-04",1992,9499,1,4
"2020-07-05",1992,9502,0,3
"2020-07-06",1992,9505,0,3
"2020-07-07",1992,9513,0,8
"2020-07-08",1994,9519,2,6
"2020-07-09",1994,9522,0,3
"2020-07-10",1994,9534,0,12
"2020-07-11",1997,9536,3,2
"2020-07-12",1997,9538,0,2
"2020-07-13",1998,9545,1,7
"2020-07-14",1999,9556,1,11
"2020-07-15",2002,9565,3,9
"2020-07-16",2003,9573,1,8
"2020-07-17",2003,9582,0,9
"2020-07-18",2003,9587,0,5
"2020-07-19",2004,9591,1,4
"2020-07-20",2006,9600,2,9
"2020-07-21",2006,9615,0,15
"2020-07-22",2006,9623,0,8
"2020-07-23",2006,9633,0,10
"2020-07-24",2007,9644,1,11
"2020-07-25",2007,9646,0,2
"2020-07-26",2007,9648,0,2
"2020-07-27",2008,9656,1,8
"2020-07-28",2009,9668,1,12
"2020-07-29",2009,9680,0,12
"2020-07-30",2009,9689,0,9
"2020-07-31",2009,9696,0,7
"2020-08-01",2009,9700,0,4
"2020-08-02",2009,9707,0,7
"2020-08-03",2010,9720,1,13
"2020-08-04",2011,9734,1,14
"2020-08-05",2011,9746,0,12
"2020-08-06",2011,9754,0,8
"2020-08-07",2012,9766,1,12
"2020-08-08",2012,9774,0,8
"2020-08-09",2015,9780,3,6
"2020-08-10",2016,9789,1,9
"2020-08-11",2016,9801,0,12
"2020-08-12",2017,9821,1,20
"2020-08-13",2018,9835,1,14
"2020-08-14",2020,9854,2,19
"2020-08-15",2022,9863,2,9
"2020-08-16",2023,9870,1,7
"2020-08-17",2023,9889,0,19
"2020-08-18",2023,9903,0,14
"2020-08-19",2025,9915,2,12
