Version,Date_of_report,Date_of_statistics,IC_admission_notification,IC_admission
1,2021-03-20T00:30:00Z,2020-02-27,0,0
1,2021-03-20T00:30:00Z,2020-02-28,0,0
1,2021-03-20T00:30:00Z,2020-02-29,0,1
1,2021-03-20T00:30:00Z,2020-03-01,0,1
1,2021-03-20T00:30:00Z,2020-03-02,0,0
1,2021-03-20T00:30:00Z,2020-03-03,0,2
1,2021-03-20T00:30:00Z,2020-03-04,0,3
1,2021-03-20T00:30:00Z,2020-03-05,0,1
1,2021-03-20T00:30:00Z,2020-03-06,0,4
1,2021-03-20T00:30:00Z,2020-03-07,0,3
1,2021-03-20T00:30:00Z,2020-03-08,0,5
1,2021-03-20T00:30:00Z,2020-03-09,0,7
1,2021-03-20T00:30:00Z,2020-03-10,0,9
1,2021-03-20T00:30:00Z,2020-03-11,0,10
1,2021-03-20T00:30:00Z,2020-03-12,0,23
1,2021-03-20T00:30:00Z,2020-03-13,0,14
1,2021-03-20T00:30:00Z,2020-03-14,0,20
1,2021-03-20T00:30:00Z,2020-03-15,0,28
1,2021-03-20T00:30:00Z,2020-03-16,0,33
1,2021-03-20T00:30:00Z,2020-03-17,0,35
1,2021-03-20T00:30:00Z,2020-03-18,0,56
1,2021-03-20T00:30:00Z,2020-03-19,0,66
1,2021-03-20T00:30:00Z,2020-03-20,0,83
1,2021-03-20T00:30:00Z,2020-03-21,0,80
1,2021-03-20T00:30:00Z,2020-03-22,0,73
1,2021-03-20T00:30:00Z,2020-03-23,0,98
1,2021-03-20T00:30:00Z,2020-03-24,613,112
1,2021-03-20T00:30:00Z,2020-03-25,132,120
1,2021-03-20T00:30:00Z,2020-03-26,115,110
1,2021-03-20T00:30:00Z,2020-03-27,110,115
1,2021-03-20T00:30:00Z,2020-03-28,115,103
1,2021-03-20T00:30:00Z,2020-03-29,88,92
1,2021-03-20T00:30:00Z,2020-03-30,122,126
1,2021-03-20T00:30:00Z,2020-03-31,109,114
1,2021-03-20T00:30:00Z,2020-04-01,77,76
1,2021-03-20T00:30:00Z,2020-04-02,86,96
1,2021-03-20T00:30:00Z,2020-04-03,98,77
1,2021-03-20T00:30:00Z,2020-04-04,59,64
1,2021-03-20T00:30:00Z,2020-04-05,73,75
1,2021-03-20T00:30:00Z,2020-04-06,55,61
1,2021-03-20T00:30:00Z,2020-04-07,73,60
1,2021-03-20T00:30:00Z,2020-04-08,60,59
1,2021-03-20T00:30:00Z,2020-04-09,88,51
1,2021-03-20T00:30:00Z,2020-04-10,56,50
1,2021-03-20T00:30:00Z,2020-04-11,23,28
1,2021-03-20T00:30:00Z,2020-04-12,34,33
1,2021-03-20T00:30:00Z,2020-04-13,37,45
1,2021-03-20T00:30:00Z,2020-04-14,44,36
1,2021-03-20T00:30:00Z,2020-04-15,45,24
1,2021-03-20T00:30:00Z,2020-04-16,35,30
1,2021-03-20T00:30:00Z,2020-04-17,25,26
1,2021-03-20T00:30:00Z,2020-04-18,18,19
1,2021-03-20T00:30:00Z,2020-04-19,20,20
1,2021-03-20T00:30:00Z,2020-04-20,24,26
1,2021-03-20T00:30:00Z,2020-04-21,35,23
1,2021-03-20T00:30:00Z,2020-04-22,16,15
1,2021-03-20T00:30:00Z,2020-04-23,17,17
1,2021-03-20T00:30:00Z,2020-04-24,14,17
1,2021-03-20T00:30:00Z,2020-04-25,10,14
1,2021-03-20T00:30:00Z,2020-04-26,12,13
1,2021-03-20T00:30:00Z,2020-04-27,12,14
1,2021-03-20T00:30:00Z,2020-04-28,20,14
1,2021-03-20T00:30:00Z,2020-04-29,16,12
1,2021-03-20T00:30:00Z,2020-04-30,11,17
1,2021-03-20T00:30:00Z,2020-05-01,11,9
1,2021-03-20T00:30:00Z,2020-05-02,6,9
1,2021-03-20T00:30:00Z,2020-05-03,7,11
1,2021-03-20T00:30:00Z,2020-05-04,16,11
1,2021-03-20T00:30:00Z,2020-05-05,7,3
1,2021-03-20T00:30:00Z,2020-05-06,7,6
1,2021-03-20T00:30:00Z,2020-05-07,8,9
1,2021-03-20T00:30:00Z,2020-05-08,5,7
1,2021-03-20T00:30:00Z,2020-05-09,5,5
1,2021-03-20T00:30:00Z,2020-05-10,2,4
1,2021-03-20T00:30:00Z,2020-05-11,10,7
1,2021-03-20T00:30:00Z,2020-05-12,5,2
1,2021-03-20T00:30:00Z,2020-05-13,5,3
1,2021-03-20T00:30:00Z,2020-05-14,4,8
1,2021-03-20T00:30:00Z,2020-05-15,3,3
1,2021-03-20T00:30:00Z,2020-05-16,4,7
1,2021-03-20T00:30:00Z,2020-05-17,6,4
1,2021-03-20T00:30:00Z,2020-05-18,2,4
1,2021-03-20T00:30:00Z,2020-05-19,12,1
