Version,Date_of_report,Date_of_statistics_week_start,Variant_code,Variant_name,ECDC_category,Sample_size,Variant_cases
1,2021-06-29T11:14:39Z,2021-01-11,B.1.1.7,Alpha,VOC,303,61
1,2021-06-29T11:14:39Z,2021-01-11,B.1.1.7+S:E484K,"",VOC,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.351,Beta,VOC,303,3
1,2021-06-29T11:14:39Z,2021-01-11,P.1,Gamma,VOC,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.617.2,Delta,VOC,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.525,Eta,VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.427/B.1.429,Epsilon,VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-11,P.3,Theta,VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.616,"",VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.617.1,Kappa,VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.620,"",VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-11,B.1.621,"",VOI,303,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.1.7,Alpha,VOC,645,157
1,2021-06-29T11:14:39Z,2021-01-18,B.1.1.7+S:E484K,"",VOC,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.351,Beta,VOC,645,3
1,2021-06-29T11:14:39Z,2021-01-18,P.1,Gamma,VOC,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.617.2,Delta,VOC,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.525,Eta,VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.427/B.1.429,Epsilon,VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-18,P.3,Theta,VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.616,"",VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.617.1,Kappa,VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.620,"",VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-18,B.1.621,"",VOI,645,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.1.7,Alpha,VOC,837,223
1,2021-06-29T11:14:39Z,2021-01-25,B.1.1.7+S:E484K,"",VOC,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.351,Beta,VOC,837,14
1,2021-06-29T11:14:39Z,2021-01-25,P.1,Gamma,VOC,837,1
1,2021-06-29T11:14:39Z,2021-01-25,B.1.617.2,Delta,VOC,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.525,Eta,VOI,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.427/B.1.429,Epsilon,VOI,837,0
1,2021-06-29T11:14:39Z,2021-01-25,P.3,Theta,VOI,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.616,"",VOI,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.617.1,Kappa,VOI,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.620,"",VOI,837,0
1,2021-06-29T11:14:39Z,2021-01-25,B.1.621,"",VOI,837,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.1.7,Alpha,VOC,902,290
1,2021-06-29T11:14:39Z,2021-02-01,B.1.1.7+S:E484K,"",VOC,902,1
1,2021-06-29T11:14:39Z,2021-02-01,B.1.351,Beta,VOC,902,20
1,2021-06-29T11:14:39Z,2021-02-01,P.1,Gamma,VOC,902,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.617.2,Delta,VOC,902,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.525,Eta,VOI,902,2
1,2021-06-29T11:14:39Z,2021-02-01,B.1.427/B.1.429,Epsilon,VOI,902,0
1,2021-06-29T11:14:39Z,2021-02-01,P.3,Theta,VOI,902,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.616,"",VOI,902,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.617.1,Kappa,VOI,902,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.620,"",VOI,902,0
1,2021-06-29T11:14:39Z,2021-02-01,B.1.621,"",VOI,902,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.1.7,Alpha,VOC,964,395
1,2021-06-29T11:14:39Z,2021-02-08,B.1.1.7+S:E484K,"",VOC,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.351,Beta,VOC,964,32
1,2021-06-29T11:14:39Z,2021-02-08,P.1,Gamma,VOC,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.617.2,Delta,VOC,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.525,Eta,VOI,964,1
1,2021-06-29T11:14:39Z,2021-02-08,B.1.427/B.1.429,Epsilon,VOI,964,0
1,2021-06-29T11:14:39Z,2021-02-08,P.3,Theta,VOI,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.616,"",VOI,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.617.1,Kappa,VOI,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.620,"",VOI,964,0
1,2021-06-29T11:14:39Z,2021-02-08,B.1.621,"",VOI,964,0
1,2021-06-29T11:14:39Z,2021-02-15,B.1.1.7,Alpha,VOC,1041,651
1,2021-06-29T11:14:39Z,2021-02-15,B.1.1.7+S:E484K,"",VOC,1041,1
1,2021-06-29T11:14:39Z,2021-02-15,B.1.351,Beta,VOC,1041,32
1,2021-06-29T11:14:39Z,2021-02-15,P.1,Gamma,VOC,1041,1
1,2021-06-29T11:14:39Z,2021-02-15,B.1.617.2,Delta,VOC,1041,0
1,2021-06-29T11:14:39Z,2021-02-15,B.1.525,Eta,VOI,1041,4
1,2021-06-29T11:14:39Z,2021-02-15,B.1.427/B.1.429,Epsilon,VOI,1041,0
1,2021-06-29T11:14:39Z,2021-02-15,P.3,Theta,VOI,1041,0
1,2021-06-29T11:14:39Z,2021-02-15,B.1.616,"",VOI,1041,0
1,2021-06-29T11:14:39Z,2021-02-15,B.1.617.1,Kappa,VOI,1041,0
1,2021-06-29T11:14:39Z,2021-02-15,B.1.620,"",VOI,1041,0
1,2021-06-29T11:14:39Z,2021-02-15,B.1.621,"",VOI,1041,0
1,2021-06-29T11:14:39Z,2021-02-22,B.1.1.7,Alpha,VOC,1037,795
1,2021-06-29T11:14:39Z,2021-02-22,B.1.1.7+S:E484K,"",VOC,1037,1
1,2021-06-29T11:14:39Z,2021-02-22,B.1.351,Beta,VOC,1037,19
1,2021-06-29T11:14:39Z,2021-02-22,P.1,Gamma,VOC,1037,3
1,2021-06-29T11:14:39Z,2021-02-22,B.1.617.2,Delta,VOC,1037,0
1,2021-06-29T11:14:39Z,2021-02-22,B.1.525,Eta,VOI,1037,0
1,2021-06-29T11:14:39Z,2021-02-22,B.1.427/B.1.429,Epsilon,VOI,1037,0
1,2021-06-29T11:14:39Z,2021-02-22,P.3,Theta,VOI,1037,1
1,2021-06-29T11:14:39Z,2021-02-22,B.1.616,"",VOI,1037,0
1,2021-06-29T11:14:39Z,2021-02-22,B.1.617.1,Kappa,VOI,1037,0
1,2021-06-29T11:14:39Z,2021-02-22,B.1.620,"",VOI,1037,0
1,2021-06-29T11:14:39Z,2021-02-22,B.1.621,"",VOI,1037,0
1,2021-06-29T11:14:39Z,2021-03-01,B.1.1.7,Alpha,VOC,1516,1267
1,2021-06-29T11:14:39Z,2021-03-01,B.1.1.7+S:E484K,"",VOC,1516,2
1,2021-06-29T11:14:39Z,2021-03-01,B.1.351,Beta,VOC,1516,25
1,2021-06-29T11:14:39Z,2021-03-01,P.1,Gamma,VOC,1516,11
1,2021-06-29T11:14:39Z,2021-03-01,B.1.617.2,Delta,VOC,1516,0
1,2021-06-29T11:14:39Z,2021-03-01,B.1.525,Eta,VOI,1516,7
1,2021-06-29T11:14:39Z,2021-03-01,B.1.427/B.1.429,Epsilon,VOI,1516,2
1,2021-06-29T11:14:39Z,2021-03-01,P.3,Theta,VOI,1516,0
1,2021-06-29T11:14:39Z,2021-03-01,B.1.616,"",VOI,1516,0
1,2021-06-29T11:14:39Z,2021-03-01,B.1.617.1,Kappa,VOI,1516,0
1,2021-06-29T11:14:39Z,2021-03-01,B.1.620,"",VOI,1516,0
1,2021-06-29T11:14:39Z,2021-03-01,B.1.621,"",VOI,1516,0
1,2021-06-29T11:14:39Z,2021-03-08,B.1.1.7,Alpha,VOC,1974,1724
1,2021-06-29T11:14:39Z,2021-03-08,B.1.1.7+S:E484K,"",VOC,1974,1
1,2021-06-29T11:14:39Z,2021-03-08,B.1.351,Beta,VOC,1974,56
1,2021-06-29T11:14:39Z,2021-03-08,P.1,Gamma,VOC,1974,15
1,2021-06-29T11:14:39Z,2021-03-08,B.1.617.2,Delta,VOC,1974,0
1,2021-06-29T11:14:39Z,2021-03-08,B.1.525,Eta,VOI,1974,5
1,2021-06-29T11:14:39Z,2021-03-08,B.1.427/B.1.429,Epsilon,VOI,1974,2
1,2021-06-29T11:14:39Z,2021-03-08,P.3,Theta,VOI,1974,0
1,2021-06-29T11:14:39Z,2021-03-08,B.1.616,"",VOI,1974,0
1,2021-06-29T11:14:39Z,2021-03-08,B.1.617.1,Kappa,VOI,1974,0
1,2021-06-29T11:14:39Z,2021-03-08,B.1.620,"",VOI,1974,0
1,2021-06-29T11:14:39Z,2021-03-08,B.1.621,"",VOI,1974,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.1.7,Alpha,VOC,1563,1403
1,2021-06-29T11:14:39Z,2021-03-15,B.1.1.7+S:E484K,"",VOC,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.351,Beta,VOC,1563,55
1,2021-06-29T11:14:39Z,2021-03-15,P.1,Gamma,VOC,1563,23
1,2021-06-29T11:14:39Z,2021-03-15,B.1.617.2,Delta,VOC,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.525,Eta,VOI,1563,2
1,2021-06-29T11:14:39Z,2021-03-15,B.1.427/B.1.429,Epsilon,VOI,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,P.3,Theta,VOI,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.616,"",VOI,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.617.1,Kappa,VOI,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.620,"",VOI,1563,0
1,2021-06-29T11:14:39Z,2021-03-15,B.1.621,"",VOI,1563,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.1.7,Alpha,VOC,1600,1494
1,2021-06-29T11:14:39Z,2021-03-22,B.1.1.7+S:E484K,"",VOC,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.351,Beta,VOC,1600,39
1,2021-06-29T11:14:39Z,2021-03-22,P.1,Gamma,VOC,1600,23
1,2021-06-29T11:14:39Z,2021-03-22,B.1.617.2,Delta,VOC,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.525,Eta,VOI,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.427/B.1.429,Epsilon,VOI,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,P.3,Theta,VOI,1600,2
1,2021-06-29T11:14:39Z,2021-03-22,B.1.616,"",VOI,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.617.1,Kappa,VOI,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.620,"",VOI,1600,0
1,2021-06-29T11:14:39Z,2021-03-22,B.1.621,"",VOI,1600,0
1,2021-06-29T11:14:39Z,2021-03-29,B.1.1.7,Alpha,VOC,1718,1629
1,2021-06-29T11:14:39Z,2021-03-29,B.1.1.7+S:E484K,"",VOC,1718,3
1,2021-06-29T11:14:39Z,2021-03-29,B.1.351,Beta,VOC,1718,40
1,2021-06-29T11:14:39Z,2021-03-29,P.1,Gamma,VOC,1718,15
1,2021-06-29T11:14:39Z,2021-03-29,B.1.617.2,Delta,VOC,1718,0
1,2021-06-29T11:14:39Z,2021-03-29,B.1.525,Eta,VOI,1718,1
1,2021-06-29T11:14:39Z,2021-03-29,B.1.427/B.1.429,Epsilon,VOI,1718,0
1,2021-06-29T11:14:39Z,2021-03-29,P.3,Theta,VOI,1718,1
1,2021-06-29T11:14:39Z,2021-03-29,B.1.616,"",VOI,1718,0
1,2021-06-29T11:14:39Z,2021-03-29,B.1.617.1,Kappa,VOI,1718,0
1,2021-06-29T11:14:39Z,2021-03-29,B.1.620,"",VOI,1718,0
1,2021-06-29T11:14:39Z,2021-03-29,B.1.621,"",VOI,1718,0
1,2021-06-29T11:14:39Z,2021-04-05,B.1.1.7,Alpha,VOC,1531,1460
1,2021-06-29T11:14:39Z,2021-04-05,B.1.1.7+S:E484K,"",VOC,1531,2
1,2021-06-29T11:14:39Z,2021-04-05,B.1.351,Beta,VOC,1531,28
1,2021-06-29T11:14:39Z,2021-04-05,P.1,Gamma,VOC,1531,23
1,2021-06-29T11:14:39Z,2021-04-05,B.1.617.2,Delta,VOC,1531,0
1,2021-06-29T11:14:39Z,2021-04-05,B.1.525,Eta,VOI,1531,2
1,2021-06-29T11:14:39Z,2021-04-05,B.1.427/B.1.429,Epsilon,VOI,1531,0
1,2021-06-29T11:14:39Z,2021-04-05,P.3,Theta,VOI,1531,0
1,2021-06-29T11:14:39Z,2021-04-05,B.1.616,"",VOI,1531,0
1,2021-06-29T11:14:39Z,2021-04-05,B.1.617.1,Kappa,VOI,1531,2
1,2021-06-29T11:14:39Z,2021-04-05,B.1.620,"",VOI,1531,0
1,2021-06-29T11:14:39Z,2021-04-05,B.1.621,"",VOI,1531,1
1,2021-06-29T11:14:39Z,2021-04-12,B.1.1.7,Alpha,VOC,1649,1594
1,2021-06-29T11:14:39Z,2021-04-12,B.1.1.7+S:E484K,"",VOC,1649,6
1,2021-06-29T11:14:39Z,2021-04-12,B.1.351,Beta,VOC,1649,19
1,2021-06-29T11:14:39Z,2021-04-12,P.1,Gamma,VOC,1649,21
1,2021-06-29T11:14:39Z,2021-04-12,B.1.617.2,Delta,VOC,1649,1
1,2021-06-29T11:14:39Z,2021-04-12,B.1.525,Eta,VOI,1649,1
1,2021-06-29T11:14:39Z,2021-04-12,B.1.427/B.1.429,Epsilon,VOI,1649,0
1,2021-06-29T11:14:39Z,2021-04-12,P.3,Theta,VOI,1649,0
1,2021-06-29T11:14:39Z,2021-04-12,B.1.616,"",VOI,1649,0
